"record_id","doi","interaction_type","is_covalent_binding","experiment_mode_primary","experiment_mode_detail","application_context","comparable_target_class","model_ready","model_ready_blocker","manual_review_priority","q5_protein_evidence_flag","q5_triage_action","standardization_rules_version"
"PHA-c432462fd3-004","10.1002/admi.201800452","physical_adsorption","no","immobilization","protein_immobilization_activity","protein_immobilization","strong","True","ready","high","False","not_applicable","curated_release_20260707"
"PHA-c432462fd3-005","10.1002/admi.201800452","physical_adsorption","no","immobilization","protein_immobilization_activity","protein_immobilization","strong","True","ready","high","False","not_applicable","curated_release_20260707"
"PHA-8c3dd22e09-001","10.1002/admi.201900598","entrapment","no","immobilization","other","protein_immobilization","medium","True","ready","high","True","not_applicable","curated_release_20260707"
"PHA-8c3dd22e09-002","10.1002/admi.201900598","entrapment","no","other","other","protein_immobilization","not_comparable","False","not_strong_or_medium_comparable;low_source_quality","medium","True","not_applicable","curated_release_20260707"
"PHA-0331b360e5-001","10.1002/admi.202002015","antifouling_low_adsorption","no","hemocompatibility","fluorescence_surface_quantification","antifouling","not_comparable","False","not_strong_or_medium_comparable;missing_or_unnormalizable_unit;low_source_quality","medium","True","keep","curated_release_20260707"
"PHA-0331b360e5-002","10.1002/admi.202002015","physical_adsorption","no","hemocompatibility","fluorescence_surface_quantification","hemocompatibility","not_comparable","False","not_strong_or_medium_comparable;missing_or_unnormalizable_unit;low_source_quality","medium","True","not_applicable","curated_release_20260707"
"PHA-0331b360e5-003","10.1002/admi.202002015","physical_adsorption","no","hemocompatibility","fluorescence_surface_quantification","hemocompatibility","not_comparable","False","not_strong_or_medium_comparable;missing_or_unnormalizable_unit","high","True","not_applicable","curated_release_20260707"
"PHA-7e88c4416d-001","10.1002/admi.202201226","antifouling_low_adsorption","no","biofouling","surface_fouling_assay","purification","weak","False","not_strong_or_medium_comparable","high","True","not_applicable","curated_release_20260707"
"PHA-1aae9995c9-001","10.1002/admi.202500122","antifouling_low_adsorption","no","QCM_SPR","SPR_binding","antifouling","strong","True","ready","high","True","keep","curated_release_20260707"
"PHA-1aae9995c9-002","10.1002/admi.202500122","antifouling_low_adsorption","no","QCM_SPR","SPR_binding","antifouling","strong","True","ready","high","True","keep","curated_release_20260707"
"PHA-1aae9995c9-003","10.1002/admi.202500122","antifouling_low_adsorption","no","QCM_SPR","SPR_binding","antifouling","strong","True","ready","high","True","keep","curated_release_20260707"
"PHA-1aae9995c9-004","10.1002/admi.202500122","antifouling_low_adsorption","no","QCM_SPR","SPR_binding","antifouling","strong","True","ready","high","True","keep","curated_release_20260707"
"PHA-1aae9995c9-005","10.1002/admi.202500122","antifouling_low_adsorption","no","QCM_SPR","SPR_binding","antifouling","strong","True","ready","high","True","keep","curated_release_20260707"
"PHA-1aae9995c9-006","10.1002/admi.202500122","antifouling_low_adsorption","no","QCM_SPR","SPR_binding","antifouling","strong","True","ready","high","True","keep","curated_release_20260707"
"PHA-1aae9995c9-007","10.1002/admi.202500122","antifouling_low_adsorption","no","QCM_SPR","SPR_binding","antifouling","not_comparable","False","not_strong_or_medium_comparable","high","True","keep","curated_release_20260707"
"PHA-1aae9995c9-008","10.1002/admi.202500122","antifouling_low_adsorption","no","QCM_SPR","SPR_binding","antifouling","strong","True","ready","high","True","keep","curated_release_20260707"
"PHA-1aae9995c9-009","10.1002/admi.202500122","antifouling_low_adsorption","no","QCM_SPR","SPR_binding","antifouling","strong","True","ready","high","True","keep","curated_release_20260707"
"PHA-1aae9995c9-010","10.1002/admi.202500122","antifouling_low_adsorption","no","QCM_SPR","SPR_binding","antifouling","strong","True","ready","high","True","keep","curated_release_20260707"
"PHA-1aae9995c9-011","10.1002/admi.202500122","antifouling_low_adsorption","no","QCM_SPR","SPR_binding","antifouling","strong","True","ready","high","True","keep","curated_release_20260707"
"PHA-e8597eaf0e-001","10.1002/admi.202500147","unknown","unclear","QCM_SPR","QCM_D","biointerface_adsorption","strong","True","ready","high","True","not_applicable","curated_release_20260707"
"PHA-e8597eaf0e-002","10.1002/admi.202500147","physical_adsorption","no","batch","fluorescence_surface_quantification","biointerface_adsorption","weak","False","not_strong_or_medium_comparable","medium","True","not_applicable","curated_release_20260707"
"PHA-e8597eaf0e-003","10.1002/admi.202500147","physical_adsorption","no","batch","fluorescence_surface_quantification","biointerface_adsorption","weak","False","not_strong_or_medium_comparable;missing_or_unnormalizable_unit","low","True","not_applicable","curated_release_20260707"
"PHA-e8597eaf0e-004","10.1002/admi.202500147","affinity_binding","no","batch","fluorescence_surface_quantification","biointerface_adsorption","weak","False","not_strong_or_medium_comparable;missing_or_unnormalizable_unit","high","True","not_applicable","curated_release_20260707"
"PHA-e8597eaf0e-005","10.1002/admi.202500147","unknown","unclear","hemocompatibility","fluorescence_surface_quantification","hemocompatibility","weak","False","not_strong_or_medium_comparable;missing_or_unnormalizable_unit;low_source_quality","medium","True","not_applicable","curated_release_20260707"
"PHA-e8597eaf0e-006","10.1002/admi.202500147","unknown","unclear","batch","fluorescence_surface_quantification","biointerface_adsorption","weak","False","not_strong_or_medium_comparable","medium","True","not_applicable","curated_release_20260707"
"PHA-e8597eaf0e-007","10.1002/admi.202500147","unknown","unclear","batch","fluorescence_surface_quantification","biointerface_adsorption","weak","False","not_strong_or_medium_comparable;missing_or_unnormalizable_unit;low_source_quality","medium","True","not_applicable","curated_release_20260707"
"PHA-e8597eaf0e-008","10.1002/admi.202500147","unknown","unclear","batch","fluorescence_surface_quantification","biointerface_adsorption","weak","False","not_strong_or_medium_comparable;missing_or_unnormalizable_unit;low_source_quality","medium","True","not_applicable","curated_release_20260707"
"PHA-e8597eaf0e-009","10.1002/admi.202500147","unknown","unclear","batch","fluorescence_surface_quantification","biointerface_adsorption","weak","False","not_strong_or_medium_comparable","medium","True","not_applicable","curated_release_20260707"
"PHA-dca2cadf30-001","10.1002/admt.202000911","antifouling_low_adsorption","no","biofouling","surface_fouling_assay","antifouling","medium","True","ready","high","True","keep","curated_release_20260707"
"PHA-dca2cadf30-002","10.1002/admt.202000911","antifouling_low_adsorption","no","biofouling","surface_fouling_assay","antifouling","medium","True","ready","high","True","keep","curated_release_20260707"
"PHA-f060197cea-001","10.1002/admt.202101396","covalent_immobilization","yes","immobilization","fluorescence_surface_quantification","protein_immobilization","weak","False","not_strong_or_medium_comparable","medium","True","not_applicable","curated_release_20260707"
"PHA-f060197cea-002","10.1002/admt.202101396","covalent_immobilization","yes","immobilization","fluorescence_surface_quantification","purification","weak","False","not_strong_or_medium_comparable","medium","False","not_applicable","curated_release_20260707"
"PHA-f060197cea-003","10.1002/admt.202101396","affinity_binding","no","flow","fluorescence_surface_quantification","biointerface_adsorption","not_comparable","False","not_strong_or_medium_comparable;low_source_quality","medium","True","not_applicable","curated_release_20260707"
"PHA-f060197cea-004","10.1002/admt.202101396","affinity_binding","no","flow","fluorescence_surface_quantification","purification","weak","False","not_strong_or_medium_comparable","high","True","not_applicable","curated_release_20260707"
