record_id,doi,doi_split,hydrogel_name,hydrogel_format,polymer_backbone,monomers,monomer_ratios,crosslinker,crosslinker_concentration,synthesis_method,preparation_solvent,preparation_pH,preparation_temp_C,gelation_time,post_treatment,functional_groups,ligand_or_affinity_group,filler_or_composite,charge_class,responsive_type,swelling_ratio,water_content_pct,porosity_pct,pore_size_value,pore_size_unit,mesh_size,surface_area,particle_size,thickness,roughness,zeta_potential_mV,contact_angle_deg,young_modulus,degradation_or_stability,protein_name,protein_abbreviation,protein_species_or_source,protein_mw_kDa,protein_pI,protein_charge_at_pH,experiment_mode,pH,temperature_C,contact_time,contact_time_unit,buffer,salt_type,salt_concentration,hydrogel_dosage,solution_volume,flow_rate,detection_method,replicate_count,target_name,target_value,target_unit,target_direction,outcome_label,mechanism_tags,source_quality_score,extraction_confidence,article_title
PHA-4423204928-002,10.1002/adhm.202505805,train,pSB hydrogel coating on PVC-PVA-MA,PVC-supported smooth zwitterionic hydrogel coating,"[""poly(sulfobetaine methacrylate)""]","[""[2-(methacryloyloxy)ethyl]dimethyl-(3-sulfopropyl)ammonium hydroxide (SBMA)""]",,"[""N,N'-methylene bisacrylamide (MBA), 0.1 mol% relative to SBMA""]",,"PVC-PVA-MA substrate coated with deoxygenated 4 M SBMA precursor containing MBA and photoinitiator 2959, UV polymerized at 365 nm and 6 W for 6 h, then immersed in water for 2 d.",,,,,,"[""sulfobetaine zwitterion""]",[],[],zwitterionic/electroneutral,[],,,,,,,,,,,,11.84,,,fibrinogen,Fg,human plasma; Sigma-Aldrich; coagulable protein >=80%,,,,static incubation,,37,4 h,,PBS,,,,,,enhanced BCA protein detection kit; absorbance at 562 nm after 2 wt% SDS sonication for 30 min,,relative fibrinogen adsorption,19.98,% of pristine PVC adsorption level,context_dependent,fibrinogen adsorption on pSB hydrogel coating,"[""zwitterionic hydration layer"",""superhydrophilicity"",""charge neutrality"",""ionic solvation""]",2,,"Cellulose Nanocrystal-Enabled Zwitterionic Hydrogel Coating Integrating Mechanical Robustness, High-Strength Adhesion, and Exceptional Antifouling for Blood-Contacting Medical Devices"
PHA-535e380f5f-002,10.1002/adma.201101258,train,Ni2+-charged NTA-functionalized microgel,microgel particle,"[""acrylamide"",""acrylic acid"",""NTA acrylamide monomer""]","[""2,20-(5-acrylamido-1-carboxypentylazanediyl) diacetic acid"",""acrylamide"",""acrylic acid""]",,"[""N,N'-methylenebisacrylamide""]",,water-in-oil emulsion redox polymerization followed by NiSO4 charging,,,,,,"[""nitrilotriacetic acid"",""carboxylate"",""amide""]","[""Ni-NTA""]",[],anionic/metal-chelating,"[""metal-affinity"",""imidazole-elutable""]",,,,,,,,6.5 ± 0.8 μm,,,-20.1,,,,His-tagged green fluorescent protein,His-tagged GFP,recombinant commercial protein,29,,,batch adsorption followed by desorption,,,20 min adsorption,,,,,0.2 mg,600 μL adsorption solution; 600 μL elution solution,,fluorescence emission intensity and ImageJ analysis,,recovery_pct,65.0,%,maximize,His-tagged GFP recovery after first use,"[""Ni-NTA His-tag coordination"",""imidazole competitive elution"",""reversible binding""]",3,0.93,Microgels for Efficient Protein Purification
PHA-535e380f5f-009,10.1002/adma.201101258,train,small Ni2+-charged NTA-functionalized microgel compared with large microgel,microgel particle,"[""acrylamide"",""acrylic acid"",""NTA acrylamide monomer""]","[""2,20-(5-acrylamido-1-carboxypentylazanediyl) diacetic acid"",""acrylamide"",""acrylic acid""]",,"[""N,N'-methylenebisacrylamide""]",,water-in-oil emulsion redox polymerization followed by NiSO4 charging,,,,,,"[""nitrilotriacetic acid"",""carboxylate"",""amide""]","[""Ni-NTA""]",[],anionic/metal-chelating,"[""metal-affinity"",""particle-size-dependent capacity""]",,,,,,,,6.5 ± 0.8 μm compared with 51.1 ± 21 μm,,,-20.1,,,,cell lysate proteins including His-tagged target protein,,cell lysate,,,,batch capacity assay with particle size comparison,,,,,,,,0.5 mg,200 μL,,Bradford Coomassie brilliant blue assay of eluted proteins,,higher protein binding by smaller microgels,22.0,% higher than larger microgels,context_dependent,particle size effect on protein binding,"[""particle size"",""surface-area-to-volume ratio"",""specific surface area""]",3,0.91,Microgels for Efficient Protein Purification
PHA-a1b34fe113-004,10.1002/adma.202202612,train,HAxHA hydrogel with 100× molar excess IGF-1 affibody,crosslinked hydrogel,"[""hyaluronan""]",[],,"[""methyltetrazine-functionalized hyaluronan"",""norbornene-functionalized hyaluronan""]",,inverse electron demand Diels-Alder click reaction,,,,,,"[""methyltetrazine"",""norbornene""]","[""IGF-1-binding affibody""]",[],,,,,,,,,,,,,,,,,insulin-like growth factor-1,IGF-1,recombinant human,7.6,7.76,positive at physiological pH,in vitro release,,37,7 days,,PBS with 0.1% BSA,,,HAxHA hydrogel with 100× molar excess IGF-1 affibody,100 µL gel plus 900 µL release medium,,ELISA,,recovery_pct,57.2,%,maximize,IGF-1 released from 100× IGF-1-affibody HAxHA hydrogel,"[""affinity-controlled release"",""affibody dose response"",""dual protein release""]",3,0.9,Directed Evolution Enables Simultaneous Controlled Release of Multiple Therapeutic Proteins from Biopolymer-Based Hydrogels
PHA-a1b34fe113-005,10.1002/adma.202202612,train,HAxHA hydrogel with 100× molar excess PEDF affibody,crosslinked hydrogel,"[""hyaluronan""]",[],,"[""methyltetrazine-functionalized hyaluronan"",""norbornene-functionalized hyaluronan""]",,inverse electron demand Diels-Alder click reaction,,,,,,"[""methyltetrazine"",""norbornene""]","[""PEDF-binding affibody""]",[],,,,,,,,,,,,,,,,,pigment epithelium-derived factor,PEDF,recombinant human,45,5.97,negative at physiological pH,in vitro release,,37,7 days,,PBS with 0.1% BSA,,,HAxHA hydrogel with 100× molar excess PEDF affibody,100 µL gel plus 900 µL release medium,,ELISA,,recovery_pct,44.2,%,maximize,PEDF released from 100× PEDF-affibody HAxHA hydrogel,"[""affinity-controlled release"",""affibody dose response"",""dual protein release"",""protein size effect""]",3,0.9,Directed Evolution Enables Simultaneous Controlled Release of Multiple Therapeutic Proteins from Biopolymer-Based Hydrogels
PHA-c432462fd3-001,10.1002/admi.201800452,train,Ti-Alg-ALP (ads),calcium alginate hydrogel coating on titanium,"[""alginate""]",[],,"[""CaCl2"",""Ca2+""]",,dip-coating in 2% w/v sodium alginate followed by CaCl2 gelation,,,,,,"[""hydroxyl groups"",""carboxyl groups""]",[],[],,[],,,,,,,,,,,,,,,alkaline phosphatase,ALP,bovine intestinal mucosa,,4.5-5.8,slightly negatively charged at pH 7,batch adsorption onto coated titanium surface,7,room temperature,60 min,,dH2O,,,,1 mL,,enzyme activity-based active ALP estimation using calibration curve,,q_norm_mg_g,90.4,mg/g,maximize,active ALP loading on alginate coating,"[""hydrogen bonding"",""alginate hydroxyl groups"",""alginate carboxyl groups""]",3,0.95,Nanostructured Biointerfaces Based on Bioceramic Calcium Carbonate/Hydrogel Coatings on Titanium with an Active Enzyme for Stimulating Osteoblasts Growth
PHA-c432462fd3-002,10.1002/admi.201800452,train,Ti-CaCO3(anch)-Alg-ALP (ads),CaCO3-anchored calcium alginate hydrogel coating on titanium,"[""alginate""]",[],,"[""CaCl2"",""Ca2+""]",,in situ CaCO3 mineralization on Ti followed by alginate dip-coating and CaCl2 gelation,,,,,,"[""hydroxyl groups"",""carboxyl groups""]",[],"[""CaCO3 vaterite anchor""]",,[],,,,,,,,CaCO3 particles on Ti 0.9 ± 0.4 µm,,,,,,,alkaline phosphatase,ALP,bovine intestinal mucosa,,4.5-5.8,slightly negatively charged at pH 7,batch adsorption onto coated titanium surface,7,room temperature,60 min,,dH2O,,,,1 mL,,enzyme activity-based active ALP estimation using calibration curve,,q_norm_mg_g,115.2,mg/g,maximize,active ALP loading on CaCO3-anchored alginate coating,"[""CaCO3 anchor"",""surface roughness"",""hydrogen bonding"",""vaterite porosity""]",3,0.95,Nanostructured Biointerfaces Based on Bioceramic Calcium Carbonate/Hydrogel Coatings on Titanium with an Active Enzyme for Stimulating Osteoblasts Growth
PHA-c432462fd3-003,10.1002/admi.201800452,train,Ti-CaCO3(anch)-Alg-(CaCO3&ALP) (copres),CaCO3-mineralized calcium alginate hydrogel coating on titanium,"[""alginate""]",[],,"[""CaCl2"",""Ca2+""]",,CaCO3 anchoring and alginate gelation followed by CaCO3/ALP coprecipitation,,,,,,"[""hydroxyl groups"",""carboxyl groups""]",[],"[""CaCO3 vaterite"",""CaCO3 calcite""]",,[],,,,,,,,predominantly micrometer-sized vaterite crystals deposited onto hydrogel surface,,,,,,,alkaline phosphatase,ALP,bovine intestinal mucosa,,4.5-5.8,,coprecipitation/entrapment during CaCO3 formation on hydrogel-coated titanium,,20 ± 0.2,60 s sonication during crystallization,,dH2O,"[""CaCl2"",""Na2CO3""]","[""1 M CaCl2"",""0.33 M Na2CO3""]",,0.3 mL CaCl2 + 0.7 mL ALP + 1 mL Na2CO3,,enzyme activity-based active ALP estimation using calibration curve,,q_norm_mg_g,10.4,mg/g,maximize,active ALP loading by coprecipitation on CaCO3/alginate composite coating,"[""enzyme entrapment"",""reduced hydrogen bonding"",""calcite fraction"",""3D alginate cage""]",3,0.95,Nanostructured Biointerfaces Based on Bioceramic Calcium Carbonate/Hydrogel Coatings on Titanium with an Active Enzyme for Stimulating Osteoblasts Growth
PHA-c432462fd3-004,10.1002/admi.201800452,train,Ti-CaCO3(anch)-Alg-(CaCO3&ALP) (ads)(x1),once-mineralized CaCO3/alginate composite hydrogel coating on titanium,"[""alginate""]",[],,"[""CaCl2"",""Ca2+""]",,CaCO3 anchoring and alginate gelation followed by one CaCO3 crystallization cycle and ALP adsorption,,,,,,"[""hydroxyl groups"",""carboxyl groups"",""carbonate groups""]",[],"[""CaCO3 vaterite"",""CaCO3 calcite""]",,[],,,,,,,,microcrystals 1-3 µm and nanocrystals 0.4-0.9 µm after CaCO3 deposition onto alginate network,,,,,,,alkaline phosphatase,ALP,bovine intestinal mucosa,,4.5-5.8,slightly negatively charged at pH 7,batch adsorption onto mineralized hydrogel-coated titanium surface,7,room temperature,60 min,,dH2O,,,,1 mL,,enzyme activity-based active ALP estimation using calibration curve,,q_norm_mg_g,115.6,mg/g,maximize,highest active ALP loading on mineralized alginate coating,"[""vaterite particle deposition"",""additional functional groups"",""hydrogen bonding"",""surface roughness"",""porosity""]",3,0.95,Nanostructured Biointerfaces Based on Bioceramic Calcium Carbonate/Hydrogel Coatings on Titanium with an Active Enzyme for Stimulating Osteoblasts Growth
PHA-c432462fd3-005,10.1002/admi.201800452,train,Ti-CaCO3(anch)-Alg-(CaCO3&ALP) (ads)(x2),twice-mineralized CaCO3/alginate composite hydrogel coating on titanium,"[""alginate""]",[],,"[""CaCl2"",""Ca2+""]",,CaCO3 anchoring and alginate gelation followed by two CaCO3 crystallization cycles and ALP adsorption,,,,,,"[""hydroxyl groups"",""carboxyl groups"",""carbonate groups""]",[],"[""CaCO3 vaterite"",""CaCO3 calcite""]",,[],,,,,,,,microcrystals 1-3 µm and nanocrystals 0.4-0.9 µm after CaCO3 deposition onto alginate network,,,,,,,alkaline phosphatase,ALP,bovine intestinal mucosa,,4.5-5.8,slightly negatively charged at pH 7,batch adsorption onto mineralized hydrogel-coated titanium surface,7,room temperature,60 min,,dH2O,,,,1 mL,,enzyme activity-based active ALP estimation using calibration curve,,q_norm_mg_g,100.0,mg/g,maximize,active ALP loading on twice-mineralized alginate coating,"[""calcite fraction"",""nonporous calcite"",""coating mass increase without ALP increase""]",3,0.95,Nanostructured Biointerfaces Based on Bioceramic Calcium Carbonate/Hydrogel Coatings on Titanium with an Active Enzyme for Stimulating Osteoblasts Growth
PHA-1aae9995c9-001,10.1002/admi.202500122,test,p(D99%-BP1%) ultrathin surface-attached hydrogel,ultrathin surface-attached hydrogel nanocoating on SPR sensor slide,"poly(N,N-dimethyl lactamide acrylate-co-benzophenone acrylate)","[""N,N-dimethyl lactamide acrylate (DMLA)"",""benzophenone acrylate (BPA)""]",,benzophenone acrylate (BPA),,RAFT polymerization followed by spin-coating/deposition from 10 mg mL^-1 aqueous polymer solution and UV irradiation for 30 min,,,,,,"[""amide"",""ester"",""benzophenone""]",[],[],non-charged hydrophilic,"[""hydrolytic degradability through ester cleavage"",""reported T_cp 71 C""]",,,,,,,,,,,,water 33 +/- 4,,,human serum albumin,HSA,human,,,,SPR flow adsorption assay,,25,60 min,,PBS,,,,,,surface plasmon resonance (SPR),,surface_adsorption_ug_cm2,0.001,ug/cm2,context_dependent,HSA adsorption on p(D99%-BP1%) at 25 C,"[""hydrophilic hydration"",""steric repulsion"",""non-charged DMLA coating"",""brush-like hydrogel interface""]",3,,"Antifouling Surface-Attached Hydrogel Nanocoatings Redefined: Green Solvent-Based, Degradable, and High-Performance Protection Against Foulants"
PHA-1aae9995c9-003,10.1002/admi.202500122,test,p(D94%-BM5%-BP1%) ultrathin surface-attached hydrogel,ultrathin surface-attached hydrogel nanocoating on SPR sensor slide,"poly(N,N-dimethyl lactamide acrylate-co-5,6-benzo-2-methylene-1,3-dioxepane-co-benzophenone acrylate)","[""N,N-dimethyl lactamide acrylate (DMLA)"",""5,6-benzo-2-methylene-1,3-dioxepane (BMDO)"",""benzophenone acrylate (BPA)""]",,benzophenone acrylate (BPA),,RAFT polymerization with BMDO radical ring-opening incorporation followed by spin-coating/deposition and UV irradiation for 30 min,,,,,,"[""amide"",""ester"",""benzophenone"",""hydrolyzable backbone ester""]",[],[],non-charged hydrophilic,"[""hydrolytic degradability through BMDO and BPA ester cleavage"",""reported T_cp 59.2 C""]",,,,,,,,,,,,water 34 +/- 1,,,human serum albumin,HSA,human,,,,SPR flow adsorption assay,,25,60 min,,PBS,,,,,,surface plasmon resonance (SPR),,surface_adsorption_ug_cm2,0.006,ug/cm2,context_dependent,HSA adsorption on p(D94%-BM5%-BP1%) at 25 C,"[""hydrophilic hydration"",""steric repulsion"",""non-charged DMLA coating"",""brush-like hydrogel interface""]",3,,"Antifouling Surface-Attached Hydrogel Nanocoatings Redefined: Green Solvent-Based, Degradable, and High-Performance Protection Against Foulants"
PHA-1aae9995c9-004,10.1002/admi.202500122,test,p(D99%-BP1%) ultrathin surface-attached hydrogel,ultrathin surface-attached hydrogel nanocoating on SPR sensor slide,"poly(N,N-dimethyl lactamide acrylate-co-benzophenone acrylate)","[""N,N-dimethyl lactamide acrylate (DMLA)"",""benzophenone acrylate (BPA)""]",,benzophenone acrylate (BPA),,RAFT polymerization followed by spin-coating/deposition from 10 mg mL^-1 aqueous polymer solution and UV irradiation for 30 min,,,,,,"[""amide"",""ester"",""benzophenone""]",[],[],non-charged hydrophilic,"[""hydrolytic degradability through ester cleavage"",""reported T_cp 71 C""]",,,,,,,,,,,,water 33 +/- 4,,,human blood plasma,BP,"human, citrated blood plasma",,,,SPR flow adsorption assay,,25,60 min,,,,,,,,surface plasmon resonance (SPR),,surface_adsorption_ug_cm2,0.01,ug/cm2,context_dependent,BP adsorption on p(D99%-BP1%) at 25 C,"[""hydrophilic hydration"",""steric repulsion"",""non-charged DMLA coating"",""brush-like hydrogel interface""]",3,,"Antifouling Surface-Attached Hydrogel Nanocoatings Redefined: Green Solvent-Based, Degradable, and High-Performance Protection Against Foulants"
PHA-1aae9995c9-005,10.1002/admi.202500122,test,p(D80%-BM14%-BP6%) ultrathin surface-attached hydrogel,ultrathin surface-attached hydrogel nanocoating on SPR sensor slide,"poly(N,N-dimethyl lactamide acrylate-co-5,6-benzo-2-methylene-1,3-dioxepane-co-benzophenone acrylate)","[""N,N-dimethyl lactamide acrylate (DMLA)"",""5,6-benzo-2-methylene-1,3-dioxepane (BMDO)"",""benzophenone acrylate (BPA)""]",,benzophenone acrylate (BPA),,RAFT polymerization with BMDO radical ring-opening incorporation followed by spin-coating/deposition and UV irradiation for 30 min,,,,,,"[""amide"",""ester"",""benzophenone"",""hydrolyzable backbone ester""]",[],[],non-charged hydrophilic,"[""hydrolytic degradability through BMDO and BPA ester cleavage"",""thermoresponsive collapse possible above T_cp 30.9 C""]",,,,,,,,,,,,water 41 +/- 2,,,human blood plasma,BP,"human, citrated blood plasma",,,,SPR flow adsorption assay,,25,60 min,,,,,,,,surface plasmon resonance (SPR),,surface_adsorption_ug_cm2,0.003,ug/cm2,context_dependent,BP adsorption on p(D80%-BM14%-BP6%) at 25 C,"[""hydrophilic hydration"",""steric repulsion"",""non-charged DMLA coating"",""brush-like hydrogel interface""]",3,,"Antifouling Surface-Attached Hydrogel Nanocoatings Redefined: Green Solvent-Based, Degradable, and High-Performance Protection Against Foulants"
PHA-1aae9995c9-006,10.1002/admi.202500122,test,p(D94%-BM5%-BP1%) ultrathin surface-attached hydrogel,ultrathin surface-attached hydrogel nanocoating on SPR sensor slide,"poly(N,N-dimethyl lactamide acrylate-co-5,6-benzo-2-methylene-1,3-dioxepane-co-benzophenone acrylate)","[""N,N-dimethyl lactamide acrylate (DMLA)"",""5,6-benzo-2-methylene-1,3-dioxepane (BMDO)"",""benzophenone acrylate (BPA)""]",,benzophenone acrylate (BPA),,RAFT polymerization with BMDO radical ring-opening incorporation followed by spin-coating/deposition and UV irradiation for 30 min,,,,,,"[""amide"",""ester"",""benzophenone"",""hydrolyzable backbone ester""]",[],[],non-charged hydrophilic,"[""hydrolytic degradability through BMDO and BPA ester cleavage"",""reported T_cp 59.2 C""]",,,,,,,,,,,,water 34 +/- 1,,,human blood plasma,BP,"human, citrated blood plasma",,,,SPR flow adsorption assay,,25,60 min,,,,,,,,surface plasmon resonance (SPR),,surface_adsorption_ug_cm2,0.015,ug/cm2,context_dependent,BP adsorption on p(D94%-BM5%-BP1%) at 25 C,"[""hydrophilic hydration"",""steric repulsion"",""non-charged DMLA coating"",""brush-like hydrogel interface""]",3,,"Antifouling Surface-Attached Hydrogel Nanocoatings Redefined: Green Solvent-Based, Degradable, and High-Performance Protection Against Foulants"
