id,doi,field_name,field_value_json,why_special,evidence_text,suggested_table
11,10.1016/j.mtchem.2025.102565,binding assay not protein adsorption,"""Small molecules bind to proteins incorporated in hydrogels.""",Important for triage against protein adsorption datasets.,"The binding of the ligands (NBD-Cn, pesticides, and drugs) to the hydrogel was characterized by adding the required hydrogel units to PBS solutions containing the ligands.",curation_notes
12,10.3390/pharmaceutics13091473,rGO adsorption capacity ranking,"""collagen > BSA > elastin""",The main adsorption design conclusion depends on protein hydrophobicity and affinity for rGO.,Collagen showed the highest adsorption capacity; BSA and elastin showed lower qe values.,protein_adsorption_summary
13,10.3390/pharmaceutics13091473,protein-coated rGO blocks EPO but not insulin,"""EPO adsorption was precluded by protein coating; insulin adsorption persisted""",This is a paper-specific therapeutic protein blocking result relevant to biointerface design.,"Protein-coated rGOs are able to preclude further adsorption of erythropoietin, but not insulin.",secondary_adsorption_blocking
14,10.3390/pharmaceutics13091473,collagen-rGO-alginate maximum specific capacitance,"""3.17 × 10−5 F/g""",Downstream hydrogel electrochemical property linked to protein adsorption identity.,Collagen-coated rGO maximized the capacitance reaching the highest value (3.17 × 10−5 F/g).,hydrogel_electrochemical_properties
15,10.3390/pharmaceutics13091473,adsorption thermodynamics are non-spontaneous,"""positive ΔG° for BSA, collagen, and elastin""",Unusual because adsorption is reported as non-spontaneous despite measurable adsorption and fitted isotherms.,The low ΔG° values indicated physio-sorption nature; a non-spontaneous phenomenon that is a feature of positive ΔG° values.,adsorption_thermodynamics
16,10.3390/pharmaceutics13091473,collagen adsorption endothermic while BSA and elastin exothermic,"""collagen ΔH° = 2.44 kJ/mol; BSA ΔH° = −40.34 kJ/mol; elastin ΔH° = −89.96 kJ/mol""",Protein-specific thermodynamic divergence tied to collagen hydrophobic hydration.,Collagen showed endothermic adsorption when temperature was increased; BSA and elastin showed exothermic character.,adsorption_thermodynamics
17,10.1002/mabi.200500085,template_BSA_weight_percent_series,"[0.0, 0.87, 1.73, 4.32, 6.91, 8.63]",Template loading is the primary hydrogel design variable controlling BSA adsorption and selectivity.,The amount of BSA in the monomer mixture was varied from 0.00 to 8.63 wt.-%.,hydrogel_design
18,10.1002/mabi.200500085,maximum_adsorption_pH,5.0,The paper identifies pH 5.0 as the optimum pH for BSA adsorption for both imprinted and non-imprinted hydrogels.,"In all cases investigated, the maximum BSA adsorption for both non-imprinted and imprinted hydrogels was observed at pH 5.0.",condition_optima
19,10.1002/mabi.200500085,BSA_isoelectric_point,4.8,The authors link maximum adsorption near pH 5.0 to BSA isoelectric point.,The maximum adsorption for both non-imprinted and imprinted hydrogels was observed at pH 5.0 buffer solution close to the isoelectric point of BSA (4.8).,protein_properties
20,10.1002/mabi.200500085,casein_isoelectric_point_and_mw,"{""molecular_weight_kDa"": 97, ""pI"": 4.6}",Casein was used as a comparator with similar pI but larger molecular weight than BSA.,Casein has a isoelectric point of 4.6 against 4.8 for BSA while a molecular weight of casein is 97 kDa against 67 kDa of BSA.,protein_properties
21,10.1002/mabi.200500085,template_removal_protocol,"""BSA molecules were desorbed into deionized water for at least two weeks with solution replacement every other day; removal confirmed by UV at 279 nm.""",Template extraction is essential for generating imprinted cavities and affects interpretation of adsorption.,The BSA molecules held by the crosslinked hydrogels were desorbed into the deionized water at least for two weeks replacing the solutions every other day. The removal of BSA was confirmed by UV spectrophotometer at 279 nm.,imprinting_protocol
22,10.1002/mabi.200500085,temperature_effect_qualitative,"""BSA adsorption decreased with increasing temperature from 5 to 40 C.""","Temperature responsiveness was studied, but the supplied context does not provide numeric figure values.",BSA adsorption decreased with increasing temperature suggesting that the interactions between BSA and the hydrogel were based on hydrogen bonds.,qualitative_condition_effects
23,10.1002/mabi.200500085,adsorption_rate_qualitative,"""Adsorption rate increased with template amount and saturation was gradually achieved in about 12 h.""","Kinetic behavior was described, but figure values in the supplied text appear garbled for early-time uptake.",The data show that the adsorption rate increases with the increase of the template amount... saturation values were gradually achieved in about 12 h.,qualitative_kinetics
24,10.1080/09205063.2018.1464263,cryogel_mass_to_volume_conversion,"""1 mL cryogel was approximately equal to 0.104 g cryogel""",Allows conversion between mg/g cryogel and mg/mL cryogel capacity.,"In this paper, 1 mL cryogel was approximately equal to 0.104 g cryogel.",normalization_constants
25,10.1080/09205063.2018.1464263,fast_swelling_equilibrium,"""cryogels attain swelling equilibrium in 10 s""",Relevant physical property for macroporous adsorbent performance.,The result of swelling kinetics indicates that cryogels attain swelling equilibrium in 10 s.,hydrogel_properties
26,10.1080/09205063.2018.1464263,mechanical_compressibility,"""compressed by at least 80% without breakdown""",Cryogel robustness may be relevant for packed-bed or flow adsorption use.,The result of compression test indicates that cryogels can be compressed by at least 80% without any breakdown.,hydrogel_properties
27,10.1080/09205063.2018.1464263,thermodynamic_spontaneity,"""Gibbs free energy change indicated spontaneous adsorption""",Thermodynamic adsorption interpretation reported without numeric ΔG values in supplied context.,Gibbs free energy change (∆G) of adsorption indicated that the adsorption process was spontaneous.,mechanism
28,10.1002/bmc.2833,macroporosity,"{""MIP/anti-hIgG_pct"": 73.9, ""NIP/anti-hIgG_pct"": 66.4}",Hydrogel macroporosity is a structural property relevant to convective protein transport but not captured as scalar pore size alone.,Table 1 reports macroporosity (%) of 66.4 for NIP/anti-hIgG and 73.9 for MIP/anti-hIgG.,hydrogel_properties_extended
29,10.1002/bmc.2833,water_uptake,"{""MIP/anti-hIgG_g_water_per_g_cryogel"": 8.7, ""NIP/anti-hIgG_g_water_per_g_cryogel"": 7.5}",Reported swelling/water uptake supports hydrogel characterization and adsorption interpretation.,The water uptake ratios for NIP and MIP cryogels were found to be 7.5 g water/g cryogel and 8.7 g water/g cryogel.,hydrogel_properties
30,10.1002/bmc.2833,cryogel_pore_size_range,"""20-100 um""",Macropore size is central to cryogel column operation and mass transfer.,The pore size of the matrix (20-100 µm) is much larger than the size of the antibody molecules.,hydrogel_properties
31,10.1002/bmc.2833,plasma_sample_preparation,"""Human blood collected in EDTA vacutainers; red blood cells separated by centrifugation at 4000 g for 30 min at room temperature; plasma filtered through 3 um Sartorius filter and frozen at -20 C.""",Blood/plasma preprocessing affects protein matrix and adsorption competition.,"Human blood was collected into EDTA-containing vacutainers and red blood cells were separated from plasma by centrifugation at 4000 g for 30 min at room temperature, then filtered (3 µm Sartorius filter) and frozen at −20°C.",biofluid_processing
32,10.1002/bmc.2833,eluted_IgG_purity,"""96.7%""",Purity is a purification performance metric separate from adsorption capacity.,Adsorbed IgG was eluted using 1.0 m NaCl with a purity of 96.7%.,purification_outcomes
33,10.1002/bmc.2833,replication_statistics,"""Adsorption experiments and protein analyses were replicated at least three times; 95% confidence intervals were calculated.""",Experimental replication affects confidence in quantitative adsorption values.,All the adsorption experiments were replicated at least three times. The protein samples were also analyzed in replicates of three. Confidence intervals of 95% were calculated.,quality_metadata
34,10.1021/bm100206k,R_charge_ratio_definition,"""R = QLSZ*Gamma_sat/Qgel""",The supplied context reports a saturation-related charge ratio matrix rather than direct numeric Gamma_sat values.,Table 2 footnote defines R using Gamma_sat and net charge densities from proton titration.,adsorption_charge_stoichiometry
35,10.1021/bm100206k,direct_Gamma_sat_values_absent,true,"Saturation uptake is central to the paper, but the supplied text and tables do not provide numeric Gamma_sat values directly.","Text says Gamma_sat was measured as a function of pH and ionic strength, but values are described through Figure 7 and Table 2 charge ratios.",extraction_limitations
36,10.1021/bm100206k,protein_distribution_no_core_shell,"""lysozyme distributed rather homogeneously through DO100% microgel at pH 7 and ionic strength 0.05 M""",Contrasts with literature reports of core-shell protein uptake in other microgels.,The protein-loaded complexes showed signal throughout the particle; empty microgels showed no signal.,microscopy_observations
37,10.1021/bm100206k,pH_opt_shift,"""For intermediate ionic strengths 0.10 and 0.20 M, Gamma_sat has a pH optimum; pH_opt shifts lower with increasing ionic strength.""",Design rule linking uptake capacity to salt and pH.,Authors state the saturation uptake maximum shifts to lower pH with increasing ionic strength.,design_rules
38,10.1021/bm100206k,deswelling_values,"[{""ionic_strength_M"": 0.2, ""pH"": 3, ""shrinkage_pct"": 44}, {""ionic_strength_M"": 0.2, ""pH"": 5, ""shrinkage_pct"": 30}, {""ionic_strength_M"": 0.2, ""pH"": 8, ""shrinkage_pct"": 10}]",Adsorption causes strong hydrogel morphology changes that affect uptake/release behavior.,Optical microscopy showed equilibrium size within 10-20 min after adding 20 mg/mL lysozyme.,hydrogel_response
39,10.1021/bm100206k,charge_regulation_direction_switch,"""At low pH the microgel adjusts charge; above about pH 3-4 the protein increasingly takes up protons in the gel.""",Paper-specific mechanistic detail for weak-polyelectrolyte protein adsorption.,Authors describe pH 3 as negative proton uptake and higher pH as proton uptake by protein under negative gel potential.,mechanism_annotations
40,10.1007/s11696-017-0129-4,acid_value_AVm,"{""MA00"": ""14.00 mg g−1"", ""MA10"": ""48.00 mg g−1"", ""MA20"": ""57.20 mg g−1"", ""MA30"": ""107.00 mg g−1""}",Acid value quantifies carboxylic acid content in the hydrogel and is central to the composition-adsorption relationship but is not a standard hydrogel property field in the schema.,The estimated acid values of our hydrogels indicate that the concentration of carboxylic acid within hydrogels increases with the initial weight of diprotic maleic acid.,hydrogel_composition_properties
41,10.1007/s11696-017-0129-4,thermodynamic_adsorption_parameters,"{""MA00"": {""K0"": ""4.82 × 10^5"", ""deltaG0_kJ_mol"": -31.87, ""lnK0"": 13.08}, ""MA10"": {""K0"": ""2.61 × 10^5"", ""deltaG0_kJ_mol"": -30.38, ""lnK0"": 12.47}, ""MA20"": {""K0"": ""2.58 × 10^5"", ""deltaG0_kJ_mol"": -30.36, ""lnK0"": 12.46}, ""MA30"": {""K0"": ""5.14 × 10^5"", ""deltaG0_kJ_mol"": -32.03, ""lnK0"": 13.15}}",Negative free energy values support the reported favorable and reversible adsorption mechanism.,"The negative value of free energy change indicated the spontaneous nature of sorption, which confirmed the affinity of the hydrogels for the BSA molecules.",adsorption_thermodynamics
42,10.1007/s11696-017-0129-4,equilibrium_swelling_degree_EDS,"{""MA00"": {""BSA_NaCl_0.9_pct"": 18.68, ""BSA_water"": 33.71, ""NaCl_0.9_pct"": 19.53, ""distilled_water"": 50.13}, ""MA10"": {""BSA_NaCl_0.9_pct"": 20.87, ""BSA_water"": 38.31, ""NaCl_0.9_pct"": 20.22, ""distilled_water"": 125.45}, ""MA20"": {""BSA_NaCl_0.9_pct"": 23.45, ""BSA_water"": 69.04, ""NaCl_0.9_pct"": 25.8, ""distilled_water"": 162.71}, ""MA30"": {""BSA_NaCl_0.9_pct"": 23.46, ""BSA_water"": 75.29, ""NaCl_0.9_pct"": 26.46, ""distilled_water"": 162.83}}","Swelling is used by the authors to explain BSA uptake, and EDS varies strongly with medium and hydrogel composition.",The EDS values of all hydrogels decrease in the following order: distilled water > BSA-water > NaCl 0.9% > BSA-NaCl 0.9%.,hydrogel_swelling
43,10.1007/s11696-017-0129-4,adsorption_initial_concentration_scan,"""0-8 g L−1 BSA in 25 mL solution at room temperature""","The article scanned BSA concentration for swelling and adsorption, but figure-level numeric points were not provided in the supplied context.","Weighed hydrogels are placed, at room temperature, in 25 mL BSA solution at corresponding concentration (0-8 g L−1).",experimental_design
44,10.1080/09205063.2018.1534423,MAP_incorporation,"{""method"": ""EDX nitrogen stoichiometry"", ""unit"": ""mmol/g polymer"", ""value"": 0.707}",Functional monomer loading is a useful hydrogel composition feature not captured by standard adsorption fields.,Incorporated amount of MAP monomer was calculated as 0.707 mmol/g polymer by nitrogen stoichiometry.,hydrogel_composition
45,10.1080/09205063.2018.1534423,swelling_ratio_imprinted_PHM,"{""condition"": ""distilled water; 25 +/- 0.1 C"", ""unit"": ""%"", ""value"": 215}",Hydrogel swelling can affect protein transport and adsorption.,Swelling ratio of albumin imprinted p(HEMA-MAP) PHMs was calculated as 215%.,hydrogel_properties
46,10.1080/09205063.2018.1534423,swelling_ratio_non_imprinted_control,"{""condition"": ""distilled water; 25 +/- 0.1 C"", ""unit"": ""%"", ""value"": 236}",Control material swelling is reported and may explain differences after MAP incorporation.,S% values of p(HEMA) PHMs was calculated about 236%.,control_material_properties
47,10.1080/09205063.2018.1534423,membrane_piece_geometry,"{""cut_piece_diameter_cm"": 0.35, ""mold_diameter_cm"": 1.0}","Membrane geometry may be needed for surface-area normalization, but surface area was not reported.",The mixture was poured into cylindrical glass molds of 10 mm diameter; PHMs were cut into circular pieces of 0.35 cm diameter.,hydrogel_geometry
48,10.1080/09205063.2018.1534423,template_removal_protocol_after_synthesis,"""1.0 M NaCl with orbital stirring for 24 h, followed by rinsing with distilled water""",Template removal protocol defines the imprinted cavity state before adsorption experiments.,Template albumin molecules were removed from synthesized molecular imprinted PHMs by using 1.0 M NaCl by orbital stirring for 24 h.,imprinting_protocol
49,10.1080/09205063.2018.1534423,UV_photopolymerization_conditions,"{""intensity_mW_cm2"": 1, ""time_min"": 10, ""wavelength_nm"": 365}",Polymerization conditions are specific synthesis features that may affect network properties.,Mixture was exposed to 365 nm UV light with 1 mW/cm2 intensity for about 10 min.,synthesis_conditions
50,10.1038/am.2017.71,hydrogel_particle_dimensions,"""about 8 mm diameter and about 2 mm thickness""","Defines macroscopic geometry of enzyme-loaded hydrogel particles, useful for diffusion and immobilized-enzyme comparisons.",The dc-ngCA-silk hydrogels were fabricated as macroscopically well-defined particles with a diameter of ~8 mm and a thickness of ~2 mm.,hydrogel_properties
51,10.1038/am.2017.71,dityrosine_crosslinking_degree,"""about 50% relative to total tyrosine residues""",Quantifies chemical crosslink formation in the protein hydrogel.,We found that the extent of dityrosine formation in the dc-ngCA-silk hydrogel was ~50% (relative to the total tyr residues).,hydrogel_characterization
52,10.1038/am.2017.71,swelling_ratio,1.2,Hydrogel swelling affects substrate diffusion and enzyme accessibility.,The hydrogel exhibited moderate swelling properties with a swelling ratio of 1.2 and a fluid recovery of 24.7%.,hydrogel_properties
53,10.1038/am.2017.71,fluid_recovery,"""24.7%""",Additional swelling-related property not in core schema.,The hydrogel exhibited moderate swelling properties with a swelling ratio of 1.2 and a fluid recovery of 24.7%.,hydrogel_properties
54,10.1038/am.2017.71,pore_size,"""about 50 μm""",Microporous morphology may affect diffusion of substrate/product.,The dc-ngCA-silk hydrogel showed a microporous and compact structure with an ~50 μm-pore size.,hydrogel_properties
55,10.1038/am.2017.71,compressive_modulus,"""about 1.3 MPa at 20% strain and about 11 MPa at 40% strain""",Mechanical toughness is a main design feature of this enzyme-encapsulating hydrogel.,"The dc-ngCA-silk hydrogel exhibited compressive moduli of ~1.3 MPa and ~11 MPa for 20% and 40% strain, respectively.",mechanical_properties
56,10.1038/am.2017.71,compressive_strength,"""about 3 MPa at up to about 50% strain without fracture""",Indicates unusually high toughness for enzyme-encapsulating hydrogel.,The dc-ngCA-silk hydrogel ... did not fracture at up to ~50% strain with a compressive strength of ~3 MPa.,mechanical_properties
57,10.1038/am.2017.71,energy_dissipation,"""about 5 kJ m^-3 during cyclic compression steady state""",Captures cyclic mechanical resilience of the hydrogel.,The area of the hysteresis loop of the dc-ngCA-silk hydrogel markedly decreased during an initial five sequential cycles but almost reached a steady state with an energy dissipation of ~5 kJ m−3.,mechanical_properties
58,10.1038/am.2017.71,CaCO3_polymorph,"""mainly spherical vaterite, diameter 2.5 μm""",CO2 sequestration product morphology and polymorph are paper-specific outcomes.,The crystal structure of the precipitated CaCO3 was mainly composed of spherical vaterite with a diameter of 2.5 μm.,side_outcomes
59,10.1038/am.2017.71,free_ngCA_CO2_removal_comparator,"""46.4±2.8% CO2-removal efficiency; 4.2±0.3 mg removed CO2; 9.5±0.6 mg precipitated CaCO3""",Direct comparator for immobilized enzyme CO2 sequestration.,"Table 2 reports Free ngCA: 9.5±0.6 mg precipitated CaCO3, 4.2±0.3 mg removed CO2, 46.4±2.8% CO2-removal efficiency.",comparators
60,10.1038/am.2017.71,blank_CO2_removal_comparator,"""13.2±3.6% CO2-removal efficiency; 1.2±0.3 mg removed CO2; 2.7±0.7 mg precipitated CaCO3""",Non-catalyzed baseline for CO2 sequestration experiment.,"Table 2 reports Blank: 2.7±0.7 mg precipitated CaCO3, 1.2±0.3 mg removed CO2, 13.2±3.6% CO2-removal efficiency.",comparators
61,10.1021/acsomega.4c11143,functional_monomer_protein_structure_prescreen,"{""condition"": ""-20 C, 24 h, BSA concentration 1.1 x 10-6 mol L-1"", ""ratios_tested"": [""1:0"", ""1:10"", ""1:20"", ""1:30"", ""1:50"", ""1:100"", ""1:200""], ""reported_stable_ratio_thresholds"": {""BSA_to_[P4,4,4,4][SS]"": ""greater than 1:50"", ""BSA_to_[VAFMIM]Cl"": ""greater than 1:100"", ""BSA_to_acrylamide"": ""greater than 1:100""}}","The paper screens monomer effects on BSA secondary structure before imprinting, which is relevant to template fidelity but is not itself a hydrogel adsorption capacity.","The authors state that when BSA to [P4,4,4,4][SS], [VAFMIM]Cl, and AM ratios are greater than 1:50, 1:100, and 1:100, respectively, BSA secondary structure is well maintained.",template_conformation_prescreen
62,10.1021/acsomega.4c11143,LCST_shift_after_polymerization,"{""MIC_NIC_DSC_heat_absorption_peak_C"": 58, ""[P4,4,4,4][SS]_monomer_solution_LCST_C"": 36}","Temperature response controls adsorption and elution behavior, and the polymer LCST differs from the monomer solution LCST.","The text reports [P4,4,4,4][SS] monomer solution phase transition at 36 C and a clear heat absorption peak at 58 C for MICs and NICs.",temperature_responsive_properties
63,10.1021/acsomega.4c11143,pore_size_comparison,"{""MICs"": ""10-20 um"", ""NICs"": ""5-10 um""}",Macropore size is repeatedly used to explain mass transfer and adsorption differences.,"SEM shows MICs exhibit a three-dimensional network structure with pore size 10-20 um, larger than NICs at 5-10 um.",hydrogel_morphology
64,10.1021/acsomega.4c11143,adsorbent_dosage_ambiguity,"{""Section_2_6_temperature_effect"": ""25 g of MICs and NICs in 40 mL BSA solution"", ""Section_2_7_adsorption_performance"": ""25 mg of MICs or NICs in 40 mL PBS""}",The supplied context contains a likely dosage inconsistency that affects normalization if temperature-response q values are extracted later.,Section 2.7 states 25 mg of MICs or NICs; Section 2.6 states 25 g of MICs and NICs.,manual_review_flags
65,10.1021/acsomega.4c11143,NIC_Langmuir_Qmax_table_text_ambiguity,"""479.43.33""",The supplied Table 3 text appears garbled for the NIC Langmuir Qmax value.,Table 3 row for NICs contains '479.43.33' in the Qmax position.,manual_review_flags
66,10.1007/s10965-017-1256-x,Mc_crosslinking_descriptor,"{""definition"": ""molecular weight between crosslinks"", ""direction"": ""smaller Mc means higher crosslink density"", ""reported_values_g_mol"": [82500, 120000, 162000, 193000]}",Mc is the central design variable and is not a standard adsorption condition field.,"The Mc was taken as the structural parameter to measure the crosslinking density of the hydrogels; the smaller the value of Mc, the higher the crosslink density.",hydrogel_design_variables
67,10.1007/s10965-017-1256-x,optimal_grafting_ratio,"{""Mc_g_mol"": 162000, ""grafting_ratio_pct"": 28.5}",Links synthesis/grafting ratio to the optimal adsorption and recognition condition.,"When the grafting ratio was 28.5% (Mc = 1.62e5 g mol^-1), the adsorption capacity of imprinted microspheres was the highest.",synthesis_conditions
68,10.1007/s10965-017-1256-x,template_elution_protocol,"""0.4 wt% NaOH solution containing 2 wt% SDS for 120 min until no BSA was detectable in the supernatant""",Template removal conditions affect imprint-site formation and rebinding but are not captured by standard adsorption fields.,The generated microspheres were eluted by a mixture of 0.4 wt% NaOH solution containing 2 wt% sodium dodecyl sulfate (SDS) for 120 min until no BSA was detectable in the supernatant.,imprinting_template_removal
69,10.1007/s10965-017-1256-x,UV_detection_wavelengths,"{""BHb_nm"": 405, ""BSA_nm"": 280, ""Lyz_nm"": 281, ""OVA_nm"": 280}",Different proteins in selectivity experiments were quantified at different UV-vis wavelengths.,"BSA concentrations were measured using UV-vis spectrophotometer at 280 nm. Competitive proteins were measured at 405 nm, 280 nm and 281 nm for BHb, OVA and Lyz, respectively.",analytical_methods
70,10.1007/s10965-017-1256-x,swelling_kinetic_Mc_relationship,"{""K1_function"": ""K1 = 3.06e-4 * Mc^0.4"", ""K2_function"": ""K2 = 1.60e-7 * Mc^0.8"", ""R1_squared"": 0.9651, ""R2_squared"": 0.9974}",The paper reports empirical swelling-rate equations as a function of crosslinking structure.,"K was expressed by a function of exponential Mc as K1 = 3.06e-4 Mc^0.4 and K2 = 1.60e-7 Mc^0.8, with linear correlation coefficients R1^2 = 0.9651 and R2^2 = 0.9974.",hydrogel_swelling_models
71,10.1007/s10965-017-1256-x,table_parsing_note,"""Supplied tables have split headers. Table 3 was interpreted as QM, QN, IE triplets for BSA, BHb, OVA, and Lyz. Table 4 was interpreted as KD_BSA, KD_competitor, alpha triplets for BSA reference and BSA plus competitor pairs.""",Automated table text extraction introduced ambiguity in column labels.,The supplied table content shows separated tokens such as Q | M | Q | N | IE and K | D1 | K | D2 | alpha.,extraction_quality_notes
72,10.1016/j.procbio.2022.03.018,surface_area_m2_g,"{""BL-NIP"": 37, ""HSA-BLIP"": 39, ""HSA-MIP16%"": 21, ""HSA-MIP8%"": 12}",Surface area is central to the bilayer-imprinting design rationale and correlates with adsorption capacity.,"Surface areas of HSA-BLIP, BL-NIP, HSA-MIP8% and HSA-MIP16% were found to be 39 m2/g, 37 m2/g, 21 m2/g and 12 m2/g, respectively.",hydrogel_characterization
73,10.1016/j.procbio.2022.03.018,swelling_rate_polymerization_yield_porosity,"{""BL-NIP"": {""polymerization_yield_pct"": 95, ""porosity_pct"": 84, ""surface_area_m2_g"": 37, ""swelling_rate_pct"": 82}, ""HSA-BLIP"": {""polymerization_yield_pct"": 95, ""porosity_pct"": 86, ""surface_area_m2_g"": 39, ""swelling_rate_pct"": 84}, ""HSA-MIP16%"": {""polymerization_yield_pct"": 90, ""porosity_pct"": 90, ""surface_area_m2_g"": 21, ""swelling_rate_pct"": 88}, ""HSA-MIP8%"": {""polymerization_yield_pct"": 92, ""porosity_pct"": 92, ""surface_area_m2_g"": 12, ""swelling_rate_pct"": 89}}",Hydrogel physical properties are reported for multiple sample architectures and may explain adsorption differences.,"Table 1 reports swelling rate, polymerization yield, porosity and surface area for HSA-MIP8%, HSA-MIP16%, HSA-BLIP and BL-NIP.",hydrogel_characterization
74,10.1016/j.procbio.2022.03.018,trabecular_thickness_distribution,"{""HSA-BLIP"": ""99.9% between 21 and 63 um"", ""HSA-MIP16%"": ""100% between 15 and 47 um"", ""HSA-MIP8%"": ""99% between 15 and 47 um""}",Micro-CT structural metric specific to cryogel morphology rather than standard adsorption outcome.,99% of HSA-MIP%8 had a trabecular thickness distribution between 15 and 47 µm... 99.9% of HSA-BLIP had a trabecular thickness distribution between 21 and 63 µm.,morphology
75,10.1016/j.procbio.2022.03.018,HSA_VIM_molar_ratio,"""1:10""",Template-functional monomer pre-complex ratio defines imprinting chemistry.,"The curve obtained from the HSA-VIM complex with 1:10 molar ratio, the increase in moles of VIM did not significantly change the peak of the curve as compared to 1:10 molar ratio.",synthesis_conditions
76,10.1016/j.procbio.2022.03.018,bilayer_monomer_concentrations,"{""first_layer"": ""8% monomer concentration (w:v)"", ""second_layer"": ""16% monomer concentration (w:v)""}",Bilayer imprinting strategy is the paper's main design novelty.,"Cryogel column with 8% monomer concentration (w:v) were prepared... The synthesis of second layer (16% monomer concentration, w:v) was performed.",synthesis_conditions
77,10.1016/j.procbio.2022.03.018,template_removal,"{""cycles"": 4, ""elution_agent"": ""0.5 M NaCl in PBS, pH 7.4"", ""removal_amount_mg_g"": 108.9, ""removal_ratio_pct"": 91.5}",Template removal affects availability of imprinted cavities for rebinding.,"After four cycles of elution, 91.5% of HSA molecules were removed from the cavities.",template_removal
78,10.1016/j.procbio.2022.03.018,serum_hsa_depletion_by_dilution,"{""1/1_depletion_pct"": 76, ""1/1_desorption_pct"": 97, ""1/2_depletion_pct"": 80.5, ""1/2_desorption_pct"": 98, ""1/5_depletion_pct"": 93.5, ""1/5_desorption_pct"": 98, ""crude_HSA_concentration_mg_mL"": 38}",Human serum depletion results are biofluid-specific and reported as percentages rather than mg/g adsorption.,"The crude HSA concentration was measured as 38 mg/mL... depletion efficacies... 76%, 80,5%. 93.5%, for 1/1, 1/2, 1/5 dilution rates... Desorption ratios... 97, 98, 98%.",biofluid_depletion
