id,doi,name,role,context,pubchem_query,needs_manual_normalization,enrichment_json
11,10.1038/pj.2014.101,glycine-HCl,acidic IgG elution buffer,100 mM glycine-HCl buffer at pH 2.3 was used to elute strongly bound IgG.,glycine hydrochloride,0,"{""CID"": 22316, ""ConnectivitySMILES"": ""C(C(=O)O)N.Cl"", ""IUPACName"": ""2-aminoacetic acid;hydrochloride"", ""InChIKey"": ""IVLXQGJVBGMLRR-UHFFFAOYSA-N"", ""MolecularFormula"": ""C2H6ClNO2"", ""MolecularWeight"": ""111.53"", ""SMILES"": ""C(C(=O)O)N.Cl""}"
12,10.1038/pj.2014.101,phosphate buffered saline,equilibration/regeneration buffer,"PBS contained 10 mM phosphate, 137 mM NaCl, and 27 mM KCl at pH 7.4.",phosphate buffered saline,1,"{""CID"": 24978514, ""ConnectivitySMILES"": ""OP(=O)(O)[O-].OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Cl-].[Cl-].[K+].[K+]"", ""IUPACName"": ""dipotassium;trisodium;dihydrogen phosphate;hydrogen phosphate;dichloride"", ""InChIKey"": ""LOKCTEFSRHRXRJ-UHFFFAOYSA-I"", ""MolecularFormula"": ""Cl2H3K2Na3O8P2"", ""MolecularWeight"": ""411.04"", ""SMILES"": ""OP(=O)(O)[O-].OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Cl-].[Cl-].[K+].[K+]""}"
13,10.1016/j.mtchem.2025.102565,polyethylene glycol 6000,polymer backbone/crosslinker precursor,PEG with low activation degree was used to prepare BSA-PEG and serum-PEG hydrogels.,polyethylene glycol 6000,1,null
14,10.1016/j.mtchem.2025.102565,4-nitrophenyl chloroformate,PEG activation reagent,PEG was activated by reaction with NPCF.,4-nitrophenyl chloroformate,0,"{""CID"": 82129, ""ConnectivitySMILES"": ""C1=CC(=CC=C1[N+](=O)[O-])OC(=O)Cl"", ""IUPACName"": ""(4-nitrophenyl) carbonochloridate"", ""InChIKey"": ""NXLNNXIXOYSCMB-UHFFFAOYSA-N"", ""MolecularFormula"": ""C7H4ClNO4"", ""MolecularWeight"": ""201.56"", ""SMILES"": ""C1=CC(=CC=C1[N+](=O)[O-])OC(=O)Cl""}"
15,10.1016/j.mtchem.2025.102565,4-dimethylaminopyridine,activation catalyst,PEG was activated in the presence of DMAP.,4-dimethylaminopyridine,0,"{""CID"": 14284, ""ConnectivitySMILES"": ""CN(C)C1=CC=NC=C1"", ""IUPACName"": ""N,N-dimethylpyridin-4-amine"", ""InChIKey"": ""VHYFNPMBLIVWCW-UHFFFAOYSA-N"", ""MolecularFormula"": ""C7H10N2"", ""MolecularWeight"": ""122.17"", ""SMILES"": ""CN(C)C1=CC=NC=C1""}"
16,10.1016/j.mtchem.2025.102565,dichloromethane,solvent,PEG activation reaction solvent.,dichloromethane,0,"{""CID"": 6344, ""ConnectivitySMILES"": ""C(Cl)Cl"", ""IUPACName"": ""dichloromethane"", ""InChIKey"": ""YMWUJEATGCHHMB-UHFFFAOYSA-N"", ""MolecularFormula"": ""CH2Cl2"", ""MolecularWeight"": ""84.93"", ""SMILES"": ""C(Cl)Cl""}"
17,10.1016/j.mtchem.2025.102565,diethyl ether,precipitation solvent,Activated PEG product purified by precipitation with cold diethyl ether.,diethyl ether,0,"{""error"": ""HTTPSConnectionPool(host='pubchem.ncbi.nlm.nih.gov', port=443): Read timed out. (read timeout=3)""}"
18,10.1016/j.mtchem.2025.102565,phosphate buffered saline,binding assay buffer and hydrogel equilibration buffer,"Ligand binding assays used PBS pH 7.4 containing 10 mM sodium phosphate, 150 mM NaCl, and 0.02% sodium azide.",phosphate buffered saline,1,"{""CID"": 24978514, ""ConnectivitySMILES"": ""OP(=O)(O)[O-].OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Cl-].[Cl-].[K+].[K+]"", ""IUPACName"": ""dipotassium;trisodium;dihydrogen phosphate;hydrogen phosphate;dichloride"", ""InChIKey"": ""LOKCTEFSRHRXRJ-UHFFFAOYSA-I"", ""MolecularFormula"": ""Cl2H3K2Na3O8P2"", ""MolecularWeight"": ""411.04"", ""SMILES"": ""OP(=O)(O)[O-].OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Cl-].[Cl-].[K+].[K+]""}"
19,10.1016/j.mtchem.2025.102565,sodium chloride,salt in PBS,PBS contained 150 mM sodium chloride.,sodium chloride,0,"{""CID"": 5234, ""ConnectivitySMILES"": ""[Na+].[Cl-]"", ""IUPACName"": ""sodium chloride"", ""InChIKey"": ""FAPWRFPIFSIZLT-UHFFFAOYSA-M"", ""MolecularFormula"": ""ClNa"", ""MolecularWeight"": ""58.44"", ""SMILES"": ""[Na+].[Cl-]""}"
20,10.1016/j.mtchem.2025.102565,sodium azide,preservative in PBS,PBS contained 0.02% w/v sodium azide.,sodium azide,0,"{""CID"": 33557, ""ConnectivitySMILES"": ""[N-]=[N+]=[N-].[Na+]"", ""IUPACName"": ""sodium azide"", ""InChIKey"": ""PXIPVTKHYLBLMZ-UHFFFAOYSA-N"", ""MolecularFormula"": ""N3Na"", ""MolecularWeight"": ""65.010"", ""SMILES"": ""[N-]=[N+]=[N-].[Na+]""}"
21,10.1016/j.mtchem.2025.102565,NBD-C4,fluorescent amphiphile ligand,Used to test ligand binding to BSA-PEG and serum-PEG hydrogels.,NBD-C4 fluorescent amphiphile,1,null
22,10.1016/j.mtchem.2025.102565,NBD-C6,fluorescent amphiphile ligand,Used to test hydrophobicity-dependent ligand binding.,NBD-C6 fluorescent amphiphile,1,null
23,10.1016/j.mtchem.2025.102565,NBD-C8,fluorescent amphiphile ligand,Used to test hydrophobicity-dependent ligand binding.,NBD-C8 fluorescent amphiphile,1,null
24,10.1016/j.mtchem.2025.102565,salicylic acid,drug ligand,Binding affinity to serum-PEG and BSA-PEG hydrogels reported in Table 2.,salicylic acid,0,"{""CID"": 338, ""ConnectivitySMILES"": ""C1=CC=C(C(=C1)C(=O)O)O"", ""IUPACName"": ""2-hydroxybenzoic acid"", ""InChIKey"": ""YGSDEFSMJLZEOE-UHFFFAOYSA-N"", ""MolecularFormula"": ""C7H6O3"", ""MolecularWeight"": ""138.12"", ""SMILES"": ""C1=CC=C(C(=C1)C(=O)O)O""}"
25,10.1016/j.mtchem.2025.102565,chlorpromazine,drug ligand,Binding affinity to serum-PEG and BSA-PEG hydrogels reported in Table 2.,chlorpromazine,0,"{""CID"": 2726, ""ConnectivitySMILES"": ""CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl"", ""IUPACName"": ""3-(2-chlorophenothiazin-10-yl)-N,N-dimethylpropan-1-amine"", ""InChIKey"": ""ZPEIMTDSQAKGNT-UHFFFAOYSA-N"", ""MolecularFormula"": ""C17H19ClN2S"", ""MolecularWeight"": ""318.9"", ""SMILES"": ""CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl""}"
26,10.1016/j.mtchem.2025.102565,diclofenac,drug ligand,Binding affinity to serum-PEG and BSA-PEG hydrogels reported in Table 2.,diclofenac,0,"{""CID"": 3033, ""ConnectivitySMILES"": ""C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl"", ""IUPACName"": ""2-[2-(2,6-dichloroanilino)phenyl]acetic acid"", ""InChIKey"": ""DCOPUUMXTXDBNB-UHFFFAOYSA-N"", ""MolecularFormula"": ""C14H11Cl2NO2"", ""MolecularWeight"": ""296.1"", ""SMILES"": ""C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl""}"
27,10.1016/j.mtchem.2025.102565,chlorpyrifos,pesticide ligand,"Binding to BSA-PEG hydrogel was studied, but numeric Table 1 values were not supplied in context.",chlorpyrifos,0,"{""CID"": 2730, ""ConnectivitySMILES"": ""CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl"", ""IUPACName"": ""diethoxy-sulfanylidene-[(3,5,6-trichloro-2-pyridinyl)oxy]-lambda5-phosphane"", ""InChIKey"": ""SBPBAQFWLVIOKP-UHFFFAOYSA-N"", ""MolecularFormula"": ""C9H11Cl3NO3PS"", ""MolecularWeight"": ""350.6"", ""SMILES"": ""CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl""}"
28,10.1016/j.mtchem.2025.102565,malathion,pesticide ligand,"Binding to BSA-PEG hydrogel was studied, but numeric Table 1 values were not supplied in context.",malathion,0,"{""CID"": 4004, ""ConnectivitySMILES"": ""CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC"", ""IUPACName"": ""diethyl 2-dimethoxyphosphinothioylsulfanylbutanedioate"", ""InChIKey"": ""JXSJBGJIGXNWCI-UHFFFAOYSA-N"", ""MolecularFormula"": ""C10H19O6PS2"", ""MolecularWeight"": ""330.4"", ""SMILES"": ""CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC""}"
29,10.1016/j.mtchem.2025.102565,acetaminophen,drug ligand,"Binding to BSA-PEG hydrogel was studied, but numeric Table 1 values were not supplied in context.",acetaminophen,0,"{""CID"": 1983, ""ConnectivitySMILES"": ""CC(=O)NC1=CC=C(C=C1)O"", ""IUPACName"": ""N-(4-hydroxyphenyl)acetamide"", ""InChIKey"": ""RZVAJINKPMORJF-UHFFFAOYSA-N"", ""MolecularFormula"": ""C8H9NO2"", ""MolecularWeight"": ""151.16"", ""SMILES"": ""CC(=O)NC1=CC=C(C=C1)O""}"
30,10.1016/j.mtchem.2025.102565,labetalol,drug ligand,"Binding to BSA-PEG hydrogel was studied, but numeric Table 1 values were not supplied in context.",labetalol,0,"{""CID"": 3869, ""ConnectivitySMILES"": ""CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O"", ""IUPACName"": ""2-hydroxy-5-[1-hydroxy-2-(4-phenylbutan-2-ylamino)ethyl]benzamide"", ""InChIKey"": ""SGUAFYQXFOLMHL-UHFFFAOYSA-N"", ""MolecularFormula"": ""C19H24N2O3"", ""MolecularWeight"": ""328.4"", ""SMILES"": ""CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O""}"
31,10.1016/j.mtchem.2025.102565,verapamil,drug ligand,"Binding to BSA-PEG hydrogel was studied, but numeric Table 1 values were not supplied in context.",verapamil,0,"{""CID"": 2520, ""ConnectivitySMILES"": ""CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC"", ""IUPACName"": ""2-(3,4-dimethoxyphenyl)-5-[2-(3,4-dimethoxyphenyl)ethyl-methylamino]-2-propan-2-ylpentanenitrile"", ""InChIKey"": ""SGTNSNPWRIOYBX-UHFFFAOYSA-N"", ""MolecularFormula"": ""C27H38N2O4"", ""MolecularWeight"": ""454.6"", ""SMILES"": ""CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC""}"
32,10.3390/pharmaceutics13091473,reduced graphene oxide,adsorbent filler and conductive component,Chemically reduced graphene oxide powder provided by Graphenea; proteins adsorbed onto rGO surface and protein-coated rGO incorporated into alginate hydrogels.,reduced graphene oxide,1,null
33,10.3390/pharmaceutics13091473,sodium alginate,hydrogel polymer backbone,"High pure, low-viscosity, ultra guluronic acid alginate used at final 1.5% alginate to prepare hydrogel disks.",sodium alginate,0,null
34,10.3390/pharmaceutics13091473,calcium sulfate,ionic crosslinker,60 µL of 1.22 M calcium sulfate used to form alginate hydrogel disks.,calcium sulfate,0,"{""CID"": 24497, ""ConnectivitySMILES"": ""[O-]S(=O)(=O)[O-].[Ca+2]"", ""IUPACName"": ""calcium sulfate"", ""InChIKey"": ""OSGAYBCDTDRGGQ-UHFFFAOYSA-L"", ""MolecularFormula"": ""CaO4S"", ""MolecularWeight"": ""136.14"", ""SMILES"": ""[O-]S(=O)(=O)[O-].[Ca+2]""}"
35,10.3390/pharmaceutics13091473,mannitol,alginate dissolution medium additive,1.87 g sodium alginate dissolved in 1% mannitol.,mannitol,0,"{""CID"": 6251, ""ConnectivitySMILES"": ""C(C(C(C(C(CO)O)O)O)O)O"", ""IUPACName"": ""(2R,3R,4R,5R)-hexane-1,2,3,4,5,6-hexol"", ""InChIKey"": ""FBPFZTCFMRRESA-KVTDHHQDSA-N"", ""MolecularFormula"": ""C6H14O6"", ""MolecularWeight"": ""182.17"", ""SMILES"": ""C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O""}"
36,10.3390/pharmaceutics13091473,dimethyl sulfoxide,rGO dispersion solvent component,rGO powder dispersed in 3/1 water and DMSO mixture before dilution.,dimethyl sulfoxide,0,"{""CID"": 679, ""ConnectivitySMILES"": ""CS(=O)C"", ""IUPACName"": ""methylsulfinylmethane"", ""InChIKey"": ""IAZDPXIOMUYVGZ-UHFFFAOYSA-N"", ""MolecularFormula"": ""C2H6OS"", ""MolecularWeight"": ""78.14"", ""SMILES"": ""CS(=O)C""}"
37,10.3390/pharmaceutics13091473,phosphate buffered saline,electrochemical measurement buffer,Hydrogel samples immersed in 0.1 M PBS during EIS and CV measurements.,phosphate buffered saline,1,"{""CID"": 24978514, ""ConnectivitySMILES"": ""OP(=O)(O)[O-].OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Cl-].[Cl-].[K+].[K+]"", ""IUPACName"": ""dipotassium;trisodium;dihydrogen phosphate;hydrogen phosphate;dichloride"", ""InChIKey"": ""LOKCTEFSRHRXRJ-UHFFFAOYSA-I"", ""MolecularFormula"": ""Cl2H3K2Na3O8P2"", ""MolecularWeight"": ""411.04"", ""SMILES"": ""OP(=O)(O)[O-].OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Cl-].[Cl-].[K+].[K+]""}"
38,10.3390/pharmaceutics13091473,BCA kit,protein quantification reagent,Non-adsorbed protein quantified with BCA kit at 562 nm.,bicinchoninic acid,1,"{""CID"": 71068, ""ConnectivitySMILES"": ""C1=CC=C2C(=C1)C(=CC(=N2)C3=NC4=CC=CC=C4C(=C3)C(=O)O)C(=O)O"", ""IUPACName"": ""2-(4-carboxyquinolin-2-yl)quinoline-4-carboxylic acid"", ""InChIKey"": ""AFYNADDZULBEJA-UHFFFAOYSA-N"", ""MolecularFormula"": ""C20H12N2O4"", ""MolecularWeight"": ""344.3"", ""SMILES"": ""C1=CC=C2C(=C1)C(=CC(=N2)C3=NC4=CC=CC=C4C(=C3)C(=O)O)C(=O)O""}"
39,10.1002/mabi.200500085,N-tert-butylacrylamide,temperature-sensitive monomer,TBA was chosen as a temperature sensitive monomer that allowed swelling and shrinking of the hydrogels in response to temperature changes.,N-tert-butylacrylamide,0,"{""CID"": 7877, ""ConnectivitySMILES"": ""CC(C)(C)NC(=O)C=C"", ""IUPACName"": ""N-tert-butylprop-2-enamide"", ""InChIKey"": ""XFHJDMUEHUHAJW-UHFFFAOYSA-N"", ""MolecularFormula"": ""C7H13NO"", ""MolecularWeight"": ""127.18"", ""SMILES"": ""CC(C)(C)NC(=O)C=C""}"
40,10.1002/mabi.200500085,acrylamide,hydrophilic comonomer,AAm was used as a hydrophilic comonomer to improve mechanical strength of PTBA hydrogels.,acrylamide,0,"{""CID"": 6579, ""ConnectivitySMILES"": ""C=CC(=O)N"", ""IUPACName"": ""prop-2-enamide"", ""InChIKey"": ""HRPVXLWXLXDGHG-UHFFFAOYSA-N"", ""MolecularFormula"": ""C3H5NO"", ""MolecularWeight"": ""71.08"", ""SMILES"": ""C=CC(=O)N""}"
41,10.1002/mabi.200500085,maleic acid,ionic functional monomer,Maleic acid has ionic character in aqueous media to recognize target molecule BSA.,maleic acid,0,"{""CID"": 444266, ""ConnectivitySMILES"": ""C(=CC(=O)O)C(=O)O"", ""IUPACName"": ""(Z)-but-2-enedioic acid"", ""InChIKey"": ""VZCYOOQTPOCHFL-UPHRSURJSA-N"", ""MolecularFormula"": ""C4H4O4"", ""MolecularWeight"": ""116.07"", ""SMILES"": ""C(=C\\C(=O)O)\\C(=O)O""}"
42,10.1002/mabi.200500085,"N,N'-methylene-bis-acrylamide",crosslinker,BAAm was used as the crosslinker in free-radical crosslinking copolymerization.,"N,N'-methylenebisacrylamide",0,"{""CID"": 8041, ""ConnectivitySMILES"": ""C=CC(=O)NCNC(=O)C=C"", ""IUPACName"": ""N-[(prop-2-enoylamino)methyl]prop-2-enamide"", ""InChIKey"": ""ZIUHHBKFKCYYJD-UHFFFAOYSA-N"", ""MolecularFormula"": ""C7H10N2O2"", ""MolecularWeight"": ""154.17"", ""SMILES"": ""C=CC(=O)NCNC(=O)C=C""}"
43,10.1002/mabi.200500085,ammonium persulphate,redox initiator,APS and TEMED were used as the redox initiator system.,ammonium persulfate,0,"{""CID"": 62648, ""ConnectivitySMILES"": ""[NH4+].[NH4+].[O-]S(=O)(=O)OOS(=O)(=O)[O-]"", ""IUPACName"": ""diazanium;sulfonatooxy sulfate"", ""InChIKey"": ""ROOXNKNUYICQNP-UHFFFAOYSA-N"", ""MolecularFormula"": ""H8N2O8S2"", ""MolecularWeight"": ""228.21"", ""SMILES"": ""[NH4+].[NH4+].[O-]S(=O)(=O)OOS(=O)(=O)[O-]""}"
44,10.1002/mabi.200500085,"N,N,N',N'-tetramethylethylenediamine",redox initiator accelerator,APS and TEMED were used as the redox initiator system.,"N,N,N',N'-tetramethylethylenediamine",0,"{""CID"": 8037, ""ConnectivitySMILES"": ""CN(C)CCN(C)C"", ""IUPACName"": ""N,N,N',N'-tetramethylethane-1,2-diamine"", ""InChIKey"": ""KWYHDKDOAIKMQN-UHFFFAOYSA-N"", ""MolecularFormula"": ""C6H16N2"", ""MolecularWeight"": ""116.20"", ""SMILES"": ""CN(C)CCN(C)C""}"
45,10.1002/mabi.200500085,methanol,polymerization solvent component,"Monomer solutions were prepared in 10 mL methanol-water mixture, 1:1 v/v.",methanol,0,"{""CID"": 887, ""ConnectivitySMILES"": ""CO"", ""IUPACName"": ""methanol"", ""InChIKey"": ""OKKJLVBELUTLKV-UHFFFAOYSA-N"", ""MolecularFormula"": ""CH4O"", ""MolecularWeight"": ""32.042"", ""SMILES"": ""CO""}"
46,10.1002/mabi.200500085,glacial acetic acid,Britton-Robinson buffer component,"Glacial acetic acid, phosphoric acid, boric acid, and NaOH were used to prepare Britton-Robinson buffers.",acetic acid,0,"{""CID"": 176, ""ConnectivitySMILES"": ""CC(=O)O"", ""IUPACName"": ""acetic acid"", ""InChIKey"": ""QTBSBXVTEAMEQO-UHFFFAOYSA-N"", ""MolecularFormula"": ""C2H4O2"", ""MolecularWeight"": ""60.05"", ""SMILES"": ""CC(=O)O""}"
47,10.1002/mabi.200500085,phosphoric acid,Britton-Robinson buffer component,"Glacial acetic acid, phosphoric acid, boric acid, and NaOH were used to prepare Britton-Robinson buffers.",phosphoric acid,0,"{""CID"": 1004, ""ConnectivitySMILES"": ""OP(=O)(O)O"", ""IUPACName"": ""phosphoric acid"", ""InChIKey"": ""NBIIXXVUZAFLBC-UHFFFAOYSA-N"", ""MolecularFormula"": ""H3O4P"", ""MolecularWeight"": ""97.995"", ""SMILES"": ""OP(=O)(O)O""}"
48,10.1002/mabi.200500085,boric acid,Britton-Robinson buffer component,"Glacial acetic acid, phosphoric acid, boric acid, and NaOH were used to prepare Britton-Robinson buffers.",boric acid,0,"{""CID"": 7628, ""ConnectivitySMILES"": ""B(O)(O)O"", ""IUPACName"": ""boric acid"", ""InChIKey"": ""KGBXLFKZBHKPEV-UHFFFAOYSA-N"", ""MolecularFormula"": ""BH3O3"", ""MolecularWeight"": ""61.84"", ""SMILES"": ""B(O)(O)O""}"
49,10.1002/mabi.200500085,sodium hydroxide,pH adjustment reagent,pH was adjusted between 2.0 and 9.0 by addition of 2.0 M NaOH.,sodium hydroxide,0,"{""CID"": 14798, ""ConnectivitySMILES"": ""[OH-].[Na+]"", ""IUPACName"": ""sodium hydroxide"", ""InChIKey"": ""HEMHJVSKTPXQMS-UHFFFAOYSA-M"", ""MolecularFormula"": ""HNaO"", ""MolecularWeight"": ""39.997"", ""SMILES"": ""[OH-].[Na+]""}"
50,10.1080/09205063.2018.1464263,hydroxypropyl methacrylate,monomer,Used as monomer HPMA for p(HPMA) cryogel synthesis.,hydroxypropyl methacrylate,0,"{""CID"": 34023, ""ConnectivitySMILES"": ""CC(CO)OC(=O)C(=C)C"", ""IUPACName"": ""1-hydroxypropan-2-yl 2-methylprop-2-enoate"", ""InChIKey"": ""ZMARGGQEAJXRFP-UHFFFAOYSA-N"", ""MolecularFormula"": ""C7H12O3"", ""MolecularWeight"": ""144.17"", ""SMILES"": ""CC(CO)OC(=O)C(=C)C""}"
51,10.1080/09205063.2018.1464263,glycidyl methacrylate,comonomer,Used with HPMA to prepare p(HPMA-GMA) cryogel before IDA coupling.,glycidyl methacrylate,0,"{""CID"": 7837, ""ConnectivitySMILES"": ""CC(=C)C(=O)OCC1CO1"", ""IUPACName"": ""oxiran-2-ylmethyl 2-methylprop-2-enoate"", ""InChIKey"": ""VOZRXNHHFUQHIL-UHFFFAOYSA-N"", ""MolecularFormula"": ""C7H10O3"", ""MolecularWeight"": ""142.15"", ""SMILES"": ""CC(=C)C(=O)OCC1CO1""}"
52,10.1080/09205063.2018.1464263,"N,N′-methylenebisacrylamide",crosslinker,Used as cross-linker MBAAm in cryogel preparation.,"N,N'-methylenebisacrylamide",0,"{""CID"": 8041, ""ConnectivitySMILES"": ""C=CC(=O)NCNC(=O)C=C"", ""IUPACName"": ""N-[(prop-2-enoylamino)methyl]prop-2-enamide"", ""InChIKey"": ""ZIUHHBKFKCYYJD-UHFFFAOYSA-N"", ""MolecularFormula"": ""C7H10N2O2"", ""MolecularWeight"": ""154.17"", ""SMILES"": ""C=CC(=O)NCNC(=O)C=C""}"
53,10.1080/09205063.2018.1464263,iminodiacetic acid,chelating ligand,Coupled to p(HPMA-GMA) cryogel before Cu2+ loading.,iminodiacetic acid,0,"{""CID"": 8897, ""ConnectivitySMILES"": ""C(C(=O)O)NCC(=O)O"", ""IUPACName"": ""2-(carboxymethylamino)acetic acid"", ""InChIKey"": ""NBZBKCUXIYYUSX-UHFFFAOYSA-N"", ""MolecularFormula"": ""C4H7NO4"", ""MolecularWeight"": ""133.10"", ""SMILES"": ""C(C(=O)O)NCC(=O)O""}"
54,10.1080/09205063.2018.1464263,Cu2+,metal affinity ion,Immobilized on IDA-functionalized cryogel to prepare p(HPMA)-Cu2+ adsorbent.,copper(II),0,"{""CID"": 27099, ""ConnectivitySMILES"": ""[Cu+2]"", ""IUPACName"": ""copper(2+)"", ""InChIKey"": ""JPVYNHNXODAKFH-UHFFFAOYSA-N"", ""MolecularFormula"": ""Cu+2"", ""MolecularWeight"": ""63.55"", ""SMILES"": ""[Cu+2]""}"
55,10.1080/09205063.2018.1464263,copper sulfate,Cu2+ source,Cryogel immersed in CuSO4 solution to immobilize Cu2+ ions.,copper sulfate,0,"{""CID"": 24462, ""ConnectivitySMILES"": ""[O-]S(=O)(=O)[O-].[Cu+2]"", ""IUPACName"": ""copper sulfate"", ""InChIKey"": ""ARUVKPQLZAKDPS-UHFFFAOYSA-L"", ""MolecularFormula"": ""CuO4S"", ""MolecularWeight"": ""159.61"", ""SMILES"": ""[O-]S(=O)(=O)[O-].[Cu+2]""}"
