material_mention_id,doi,name,role,query,value_origin,source_database,match_status,qa_status,qa_note,pubchem_cid,molecular_formula,molecular_weight,canonical_smiles,isomeric_smiles,inchikey,iupac_name
10371,10.1002/1097-4636(20001215)52:4<701::AID-JBM15>3.3.CO;2-Y,MPC polymer,hydrogel polymer network,MPC polymer,external_descriptor,PubChem,skipped,skipped,,,,,,,,
10372,10.1002/1097-4636(20001215)52:4<701::AID-JBM15>3.3.CO;2-Y,segmented polyurethane,reinforcing polymer/comparator,segmented polyurethane,external_descriptor,PubChem,skipped,skipped,,,,,,,,
10373,10.1002/1097-4636(20001215)52:4<701::AID-JBM15>3.3.CO;2-Y,"1,4-di(2-hydroxyethoxy)benzene",permeation probe,"1,4-di(2-hydroxyethoxy)benzene",external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
10374,10.1002/1097-4636(20001215)52:4<701::AID-JBM15>3.3.CO;2-Y,water,swelling solvent,water,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
10375,10.1002/1097-4636(20001215)52:4<701::AID-JBM15>3.3.CO;2-Y,ethanol,swelling solvent,ethanol,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
7837,10.1002/1521-3935(20010101)202:1<163::AID-MACP163>3.0.CO;2-M,sugar molecules,recognized target molecules,sugar molecules,external_descriptor,PubChem,skipped,skipped,,,,,,,,
8611,10.1002/adbi.201700240,CM Ceramic HyperD resin,hydrogel adsorbent / weak cation exchange resin,CM Ceramic HyperD resin,external_descriptor,PubChem,skipped,skipped,,,,,,,,
8612,10.1002/adbi.201700240,carboxymethyl,anionic functional group / cation-exchange ligand,carboxymethyl group,external_descriptor,PubChem,skipped,skipped,,,,,,,,
8613,10.1002/adbi.201700240,Fmoc-DIKVAV,self-assembling peptide monomer,Fmoc-DIKVAV,external_descriptor,PubChem,skipped,skipped,,,,,,,,
8614,10.1002/adbi.201700240,Fmoc-DIKVAVD,self-assembling peptide monomer,Fmoc-DIKVAVD,external_descriptor,PubChem,skipped,skipped,,,,,,,,
8615,10.1002/adbi.201700240,aspartic acid,anionic charge-conferring residue,aspartic acid,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
8616,10.1002/adbi.201700240,HEPES,buffer component,HEPES,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
8617,10.1002/adbi.201700240,ZnCl2,metal salt / enzyme cofactor buffer component,zinc chloride,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
8618,10.1002/adbi.201700240,NaCl,"salt for buffer, elution, and stripping",sodium chloride,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
8619,10.1002/adbi.201700240,PBS,wash buffer,phosphate buffered saline,external_descriptor,PubChem,skipped,skipped,,,,,,,,
8620,10.1002/adbi.201700240,paraoxon-ethyl,enzyme substrate for activity assay,paraoxon-ethyl,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
8621,10.1002/adbi.201700240,p-nitrophenyl butyrate,enzyme substrate for flow longevity and solvent stability assays,p-nitrophenyl butyrate,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
8622,10.1002/adbi.201700240,methanol,organic solvent / stress condition,methanol,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
8623,10.1002/adbi.201700240,ethyl acetate,organic solvent / stress condition,ethyl acetate,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
8624,10.1002/adbi.201700240,methyl (p-nitrophenyl) phenyl phosphate,chiral substrate,methyl p-nitrophenyl phenyl phosphate,external_descriptor,PubChem,skipped,skipped,,,,,,,,
8140,10.1002/adbi.201800312,agarose,hydrogel matrix,agarose,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
8141,10.1002/adbi.201800312,Strep-Tactin XT affinity beads,affinity capture/detection material,Strep-Tactin XT affinity beads,external_descriptor,PubChem,skipped,skipped,,,,,,,,
8142,10.1002/adbi.201800312,pDawn plasmid,optogenetic expression vector,pDawn plasmid,external_descriptor,PubChem,skipped,skipped,,,,,,,,
8143,10.1002/adbi.201800312,Strep-tag II,affinity tag,WSHPQFEK,external_descriptor,PubChem,skipped,skipped,,,,,,,,
8144,10.1002/adbi.201800312,Kanamycin,antibiotic selection agent,kanamycin,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
8145,10.1002/adbi.201800312,phosphate buffered saline,wash/resuspension buffer,phosphate buffered saline,external_descriptor,PubChem,skipped,skipped,,,,,,,,
8146,10.1002/adbi.201800312,MilliCell CM insert,transwell support with porous membrane,MilliCell CM insert,external_descriptor,PubChem,skipped,skipped,,,,,,,,
10320,10.1002/adbi.202000081,poly(N-vinylcaprolactam),thermoresponsive microgel polymer backbone,poly(N-vinylcaprolactam),external_descriptor,PubChem,skipped,skipped,,,,,,,,
10321,10.1002/adbi.202000081,N-vinylcaprolactam,monomer,N-vinylcaprolactam,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
10322,10.1002/adbi.202000081,poly(ether sulfone),hollow fiber membrane support,polyethersulfone,external_descriptor,PubChem,skipped,skipped,,,,,,,,
10323,10.1002/adbi.202000081,poly(vinylpyrrolidone),hollow fiber membrane support component,polyvinylpyrrolidone,external_descriptor,PubChem,skipped,skipped,,,,,,,,
10324,10.1002/adbi.202000081,heparin,possible future affinity functionalization,heparin,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
4299,10.1002/adfm.200400117,2-methacrylamidobutyl nitrilotriacetic acid,NTA-containing monomer,2-methacrylamidobutyl nitrilotriacetic acid,external_descriptor,PubChem,skipped,skipped,,,,,,,,
4300,10.1002/adfm.200400117,nitrilotriacetic acid,affinity ligand functional group,nitrilotriacetic acid,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
4301,10.1002/adfm.200400117,metal ion,affinity bridge,metal ion,external_descriptor,PubChem,skipped,skipped,,,,,,,,
4302,10.1002/adfm.200400117,histidine residues,protein affinity motif,histidine,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
10059,10.1002/adfm.201702955,1-ethyl-3-(3-dimethylaminopropyl)carbodiimide,crosslinker,1-ethyl-3-(3-dimethylaminopropyl)carbodiimide,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
10060,10.1002/adfm.201702955,Coumarin 460,blue fluorescent dye,Coumarin 460,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
10061,10.1002/adfm.201702955,fluorescein,green fluorescent dye,fluorescein,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
10062,10.1002/adfm.201702955,5(6)-carboxy-x-rhodamine,red fluorescent dye,5(6)-carboxy-X-rhodamine,external_descriptor,PubChem,skipped,skipped,,,,,,,,
10063,10.1002/adfm.201702955,glucose,small-molecule analyte,glucose,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
10064,10.1002/adfm.201702955,guaiacol,chromogenic peroxidase substrate,guaiacol,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
9801,10.1002/adfm.201900518,MoS2,nanozyme filler,molybdenum disulfide,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
9802,10.1002/adfm.201900518,N-isopropylacrylamide,monomer,N-isopropylacrylamide,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
9803,10.1002/adfm.201900518,acrylamide,monomer,acrylamide,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
9804,10.1002/adfm.201900518,N-[3-(dimethylamino)propyl]methacrylamide,cationic monomer or functional monomer,N-[3-(dimethylamino)propyl]methacrylamide,external_descriptor,PubChem,skipped,skipped,,,,,,,,
9805,10.1002/adfm.201900518,"methylene-N,N-bis(acrylamide)",crosslinker,"N,N'-methylenebisacrylamide",external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
9806,10.1002/adfm.201900518,L-cysteine,MoS2 surface modifier,L-cysteine,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
9807,10.1002/adfm.201900518,1-ethyl-3-(3-dimethylaminopropyl) carbodiimide,coupling reagent,EDC,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
9808,10.1002/adfm.201900518,N-hydroxysuccinimide,coupling reagent,N-hydroxysuccinimide,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
9809,10.1002/adfm.201900518,hydrogen peroxide,ROS substrate,hydrogen peroxide,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
8679,10.1002/adfm.202005245,HEPES,buffer/control condition,HEPES,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
8680,10.1002/adfm.202005245,VPGXG pentapeptide repeat,ELP monomeric repeat motif,VPGXG pentapeptide repeat,external_descriptor,PubChem,skipped,skipped,,,,,,,,
8681,10.1002/adfm.202005245,alanine,ELP guest residue,L-alanine,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
8682,10.1002/adfm.202005245,valine,ELP guest residue,L-valine,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
8683,10.1002/adfm.202005245,glutamic acid,ELP guest residue,L-glutamic acid,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
8684,10.1002/adfm.202005245,DQMMLPWPAVAL,FXIIIa-recognized glutamine donor tag in hELP Q-block,DQMMLPWPAVAL,external_descriptor,PubChem,skipped,skipped,,,,,,,,
8685,10.1002/adfm.202005245,GSKGS,lysine donor sequence in hELP K-block,GSKGS,external_descriptor,PubChem,skipped,skipped,,,,,,,,
8686,10.1002/adfm.202005245,Atto647-N-hydroxysuccinimide,fluorescent label for hELP/conELP,Atto 647N NHS ester,external_descriptor,PubChem,skipped,skipped,,,,,,,,
8687,10.1002/adfm.202005245,AlexaFluor 488,fluorescent label on fibrinogen,Alexa Fluor 488,external_descriptor,PubChem,skipped,skipped,,,,,,,,
5672,10.1002/adfm.202010556,PDA-PEG,polymer backbone,poly[(2-(pyridin-2-yldisulfanyl)ethyl acrylate)-co-poly(ethylene glycol)],external_descriptor,PubChem,skipped,skipped,,,,,,,,
5673,10.1002/adfm.202010556,2-(pyridin-2-yldisulfanyl)ethyl acrylate,monomer,2-(pyridin-2-yldisulfanyl)ethyl acrylate,external_descriptor,PubChem,skipped,skipped,,,,,,,,
5674,10.1002/adfm.202010556,poly(ethylene glycol),polymer comonomer,polyethylene glycol,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
5675,10.1002/adfm.202010556,p-nitrophenylcarbonate,reactive functional group,p-nitrophenyl carbonate,external_descriptor,PubChem,skipped,skipped,,,,,,,,
5676,10.1002/adfm.202010556,beta-mercaptoethanol,polymer modification reagent,beta-mercaptoethanol,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
5677,10.1002/adfm.202010556,tris(2-carboxyethyl)phosphine,crosslinking inducer,tris(2-carboxyethyl)phosphine,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
5678,10.1002/adfm.202010556,TCEP,crosslinking inducer,TCEP tris(2-carboxyethyl)phosphine,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
5679,10.1002/adfm.202010556,ethylenediamine,quenching reagent,ethylenediamine,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
5680,10.1002/adfm.202010556,glutathione,release trigger,glutathione,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
5681,10.1002/adfm.202010556,GSH,release trigger,glutathione,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
5682,10.1002/adfm.202010556,cyclic Arg-Gly-Asp-D-Phe-Cys peptide,targeting ligand,cyclic Arg-Gly-Asp-D-Phe-Cys,external_descriptor,PubChem,skipped,skipped,,,,,,,,
5683,10.1002/adfm.202010556,RGD peptide,targeting ligand,RGD peptide,external_descriptor,PubChem,skipped,skipped,,,,,,,,
5684,10.1002/adfm.202010556,Cyanine5,fluorescent label,Cyanine5,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
5685,10.1002/adfm.202010556,Cy5,fluorescent label,Cyanine5,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
5686,10.1002/adfm.202010556,Cyanine3,fluorescent label,Cyanine3,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
5687,10.1002/adfm.202010556,Cy3,fluorescent label,Cyanine3,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
5688,10.1002/adfm.202010556,bortezomib,proteasome inhibitor,bortezomib,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
10004,10.1002/adfm.202108135,3-dimethyl(methacryloyloxyethyl) ammonium propane sulfonate,zwitterionic hydrogel monomer,3-dimethyl(methacryloyloxyethyl) ammonium propane sulfonate,external_descriptor,PubChem,skipped,skipped,,,,,,,,
10005,10.1002/adfm.202108135,PEGDMA,crosslinker,poly(ethylene glycol) dimethacrylate,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
10006,10.1002/adfm.202108135,ammonium persulfate,initiator,ammonium persulfate,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
10007,10.1002/adfm.202108135,"N,N,N',N'-Tetramethylethylenediamine",polymerization accelerator,"N,N,N',N'-Tetramethylethylenediamine",external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
10008,10.1002/adfm.202108135,carbon black,photothermal coating,carbon black,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
10009,10.1002/adfm.202108135,sunflower stalk pith,biomass porous foam scaffold,sunflower stalk pith,external_descriptor,PubChem,skipped,skipped,,,,,,,,
7852,10.1002/adfm.202308269,ampicillin,ligand_or_affinity_group,ampicillin,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
7853,10.1002/adfm.202308269,four-arm PEG-SCM,polymer precursor,polyethylene glycol succinimidyl carboxymethyl ester,external_descriptor,PubChem,skipped,skipped,,,,,,,,
7854,10.1002/adfm.202308269,four-arm PEG-tetra-ampicillin,functional hydrogel polymer,polyethylene glycol ampicillin conjugate,external_descriptor,PubChem,skipped,skipped,,,,,,,,
7855,10.1002/adfm.202308269,CNBr-activated Sepharose 4B,activated hydrogel bead support,cyanogen bromide activated agarose,external_descriptor,PubChem,skipped,skipped,,,,,,,,
7856,10.1002/adfm.202308269,crosslinked agarose,hydrogel backbone,agarose,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
7857,10.1002/adfm.202308269,cyanogen bromide,activation chemistry,cyanogen bromide,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
7858,10.1002/adfm.202308269,triethylamine,reaction additive,triethylamine,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
7859,10.1002/adfm.202308269,dimethylformamide,solvent,dimethylformamide,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
7860,10.1002/adfm.202308269,Tris-HCl,blocking buffer component,tris hydrochloride,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
7861,10.1002/adfm.202308269,BSA,blocking protein,bovine serum albumin,external_descriptor,PubChem,skipped,skipped,,,,,,,,
7862,10.1002/adfm.202308269,HaloLink resin,comparator affinity resin,HaloLink resin,external_descriptor,PubChem,skipped,skipped,,,,,,,,
7863,10.1002/adfm.202308269,Bocillin-FL,fluorescent beta-lactam ligand,Bocillin FL,external_descriptor,PubChem,skipped,skipped,,,,,,,,
7864,10.1002/adfm.202308269,2-mercaptoethanol,buffer additive,2-mercaptoethanol,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
7865,10.1002/adfm.202308269,Tween-20,buffer additive,polysorbate 20,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
9818,10.1002/adfm.202309500,poly(vinyl alcohol),hydrogel matrix polymer,poly(vinyl alcohol),external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
9819,10.1002/adfm.202309500,cellulose nanofiber,nano-reinforcing filler,cellulose,external_descriptor,PubChem,skipped,skipped,,,,,,,,
9820,10.1002/adfm.202309500,PEDOT:PSS,conductive component,"poly(3,4-ethylenedioxythiophene) poly(styrene sulfonate)",external_descriptor,PubChem,skipped,skipped,,,,,,,,
9821,10.1002/adfm.202309500,phosphate-buffered saline,physiological swelling medium,phosphate buffered saline,external_descriptor,PubChem,skipped,skipped,,,,,,,,
7313,10.1002/adfm.202309567,dextran,polymer backbone,dextran,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
7314,10.1002/adfm.202309567,glycidyl methacrylate,methacrylation reagent / hydrophobic functional group source,glycidyl methacrylate,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
7315,10.1002/adfm.202309567,methacrylate group,crosslinkable hydrophobic functional group,methacrylate,external_descriptor,PubChem,skipped,skipped,,,,,,,,
7316,10.1002/adfm.202309567,4-dimethylamino pyridine,base catalyst,4-dimethylaminopyridine,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
7317,10.1002/adfm.202309567,dimethyl sulfoxide,solvent,dimethyl sulfoxide,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
7318,10.1002/adfm.202309567,Irgacure 2959,photoinitiator,Irgacure 2959,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
7319,10.1002/adfm.202309567,phosphate buffered saline,buffer / protein adsorption matrix,phosphate buffered saline,external_descriptor,PubChem,skipped,skipped,,,,,,,,
7320,10.1002/adfm.202309567,isopropanol,precipitation solvent,isopropanol,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
7321,10.1002/adfm.202309567,gold/palladium,SEM sputter coating,gold palladium,external_descriptor,PubChem,skipped,skipped,,,,,,,,
9224,10.1002/adfm.202424994,"2-methylene-1,3-dioxepane",monomer,"2-methylene-1,3-dioxepane",external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
9225,10.1002/adfm.202424994,MDO,monomer abbreviation,"2-methylene-1,3-dioxepane",external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
9226,10.1002/adfm.202424994,vinyl chloroacetate,monomer,vinyl chloroacetate,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
9227,10.1002/adfm.202424994,VCA,monomer abbreviation,vinyl chloroacetate,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
9228,10.1002/adfm.202424994,2-(trimethoxysilyl) propyl dimethylamino propionate,zwitterion precursor and crosslinking-site graft,2-(trimethoxysilyl) propyl dimethylamino propionate,external_descriptor,PubChem,skipped,skipped,,,,,,,,
9229,10.1002/adfm.202424994,TPD,zwitterion precursor abbreviation,2-(trimethoxysilyl) propyl dimethylamino propionate,external_descriptor,PubChem,skipped,skipped,,,,,,,,
9230,10.1002/adfm.202424994,PMV,polymer precursor,PMV,external_descriptor,PubChem,skipped,skipped,,,,,,,,
9231,10.1002/adfm.202424994,PMVSx,degradable zwitterion-precursor polymer,PMVSx,external_descriptor,PubChem,skipped,skipped,,,,,,,,
9232,10.1002/adfm.202424994,UiO-66,metal-organic framework filler/nanocontainer,UiO-66,external_descriptor,PubChem,skipped,skipped,,,,,,,,
9233,10.1002/adfm.202424994,benzotriazole,corrosion inhibitor,benzotriazole,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
9234,10.1002/adfm.202424994,BTA,corrosion inhibitor abbreviation,benzotriazole,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
9235,10.1002/adfm.202424994,BU,BTA-loaded silane-modified UiO-66 filler,BU,external_descriptor,PubChem,skipped,skipped,,,,,,,,
9236,10.1002/adfm.202424994,3-(methacryloxypropyl) trimethoxysilane,silane coupling agent,3-(methacryloxypropyl) trimethoxysilane,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
9237,10.1002/adfm.202424994,KH570,silane coupling agent abbreviation,3-(methacryloxypropyl) trimethoxysilane,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
7155,10.1002/adfm.202513931,PDZ,non-covalent protein-protein interaction domain,PDZ,external_descriptor,PubChem,skipped,skipped,,,,,,,,
7156,10.1002/adfm.202513931,GBD,non-covalent protein-protein interaction domain,GBD,external_descriptor,PubChem,skipped,skipped,,,,,,,,
7157,10.1002/adfm.202513931,SH3,non-covalent protein-protein interaction domain,SH3,external_descriptor,PubChem,skipped,skipped,,,,,,,,
7158,10.1002/adfm.202513931,SpyCatcher/SpyTag,covalent comparator linkage system,SpyCatcher/SpyTag,external_descriptor,PubChem,skipped,skipped,,,,,,,,
7159,10.1002/adfm.202513931,FITC,fluorescent dopant,fluorescein isothiocyanate,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
7160,10.1002/adfm.202513931,NADP+,cofactor,NADP+,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
7161,10.1002/adfm.202513931,glucose,cofactor regeneration substrate,glucose,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
7162,10.1002/adfm.202513931,"5-nitrononane-2,8-dione",biocatalysis substrate,"5-nitrononane-2,8-dione",external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
7163,10.1002/adfm.202513931,p-coumaric acid,biocatalysis substrate,p-coumaric acid,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
5646,10.1002/adfm.202519196,oxidized IGEPAL CO-890,anionic polymer-surfactant used to complex cationized mTG,oxidized IGEPAL CO-890,external_descriptor,PubChem,skipped,skipped,,,,,,,,
5647,10.1002/adfm.202519196,"N,N'-dimethyl-1,3-propanediamine",cationization reagent,"N,N'-dimethyl-1,3-propanediamine",external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
5648,10.1002/adfm.202519196,N-(3-dimethylaminopropyl)-N'-ethylcarbodiimide hydrochloride,carbodiimide coupling reagent for cationization,N-(3-dimethylaminopropyl)-N'-ethylcarbodiimide hydrochloride,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
5649,10.1002/adfm.202519196,HEPES,buffer,HEPES,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
5650,10.1002/adfm.202519196,MES,buffer,MES buffer,external_descriptor,PubChem,skipped,skipped,,,,,,,,
5651,10.1002/adfm.202519196,sodium chloride,salt,sodium chloride,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
5652,10.1002/adfm.202519196,gelatin,protein hydrogel precursor,gelatin,external_descriptor,PubChem,skipped,skipped,,,,,,,,
5653,10.1002/adfm.202519196,casein,substrate protein for enzyme activity/gelation assay,casein,external_descriptor,PubChem,skipped,skipped,,,,,,,,
7610,10.1002/adhm.202201378,polyethylene glycol,hydrogel polymer precursor/backbone,polyethylene glycol,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
7611,10.1002/adhm.202201378,hexamethylene diisocyanate,diisocyanate monomer,hexamethylene diisocyanate,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
7612,10.1002/adhm.202201378,"1,1,1-tris(hydroxymethyl)ethane",crosslinker,"1,1,1-tris(hydroxymethyl)ethane",external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
7613,10.1002/adhm.202201378,"1,4-diazabicyclo[2.2.2]octane",catalyst,"1,4-diazabicyclo[2.2.2]octane",external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
7614,10.1002/adhm.202201378,di-n-butyltin dilaurate,alternative catalyst/comparator in synthesis,dibutyltin dilaurate,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
