protein_mention_id,doi,name,abbreviation,species_or_source,role,uniprot_query,reported_mw_kDa,reported_pI,value_origin,source_database,match_status,qa_status,qa_note,uniprot_accession,uniprot_id,protein_full_name,organism,sequence_length,molecular_mass_Da,sequence_available,result_count
41,10.1007/s10965-017-1256-x,ovalbumin,OVA,not specified; supplied by Sigma-Aldrich,competing/comparator protein,ovalbumin OVA,46.0,4.7,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,E2RVI8,OVAL_DRONO,Ovalbumin,Dromaius novaehollandiae,386,43081,True,3
42,10.1007/s10965-017-1256-x,lysozyme,Lyz,not specified; supplied by Sigma-Aldrich,competing/comparator protein,lysozyme LYZ,14.4,10.8,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P61626,LYSC_HUMAN,Lysozyme C,Homo sapiens,148,16537,True,3
43,10.1016/j.procbio.2022.03.018,human serum albumin,HSA,human,"template, target protein, depletion target",human serum albumin,67.0,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P43652,AFAM_HUMAN,Afamin,Homo sapiens,599,69069,True,3
44,10.1016/j.procbio.2022.03.018,human hemoglobin,Hb,human,competitor protein,human hemoglobin,nan,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P68871,HBB_HUMAN,Hemoglobin subunit beta,Homo sapiens,147,15998,True,3
45,10.1016/j.procbio.2022.03.018,immunoglobulin G,IgG,human,competitor protein,human immunoglobulin G,nan,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,Q8IZF2,AGRF5_HUMAN,Adhesion G protein-coupled receptor F5,Homo sapiens,1346,149457,True,3
46,10.1016/j.procbio.2022.03.018,human serum proteins,,commercial human serum,complex biofluid matrix,,nan,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P22309,UD11_HUMAN,UDP-glucuronosyltransferase 1A1,Homo sapiens,533,59591,True,1
47,10.3390/polym18050633,bovine serum albumin,BSA,"bovine; Sigma-Aldrich Fraction V, fatty acid-free","hydrogel-forming protein material, not adsorbed protein target",bovine serum albumin,nan,5.1,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P02769,ALBU_BOVIN,Albumin,Bos taurus,607,69293,True,3
48,10.3390/molecules29204858,bovine serum albumin,BSA,bovine,model/reference protein,serum albumin Bos taurus,66.4,4.7,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P02769,ALBU_BOVIN,Albumin,Bos taurus,607,69293,True,3
49,10.3390/molecules29204858,ovalbumin,OVA,chicken egg white,model protein,ovalbumin Gallus gallus,44.3,4.6,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P01012,OVAL_CHICK,Ovalbumin,Gallus gallus,386,42881,True,3
50,10.3390/molecules29204858,lysozyme,LYZ,chicken egg white,model protein/enzyme,lysozyme C Gallus gallus,14.4,11.4,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P00698,LYSC_CHICK,Lysozyme C,Gallus gallus,147,16239,True,3
51,10.3390/molecules29204858,monoclonal immunoglobulin,mAb2,provided by Polpharma Biologics; exact source not stated,monoclonal antibody target protein,,148.0,8.2,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
52,10.1080/10601325.2012.703515,human serum albumin,HSA,human serum,target protein,human serum albumin,nan,4.7,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P43652,AFAM_HUMAN,Afamin,Homo sapiens,599,69069,True,3
53,10.1080/10601325.2012.703515,human serum immunoglobulin,H-IgG,human serum,competitor protein in mixture,human immunoglobulin G,nan,7.0,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,Q8IZF2,AGRF5_HUMAN,Adhesion G protein-coupled receptor F5,Homo sapiens,1346,149457,True,3
54,10.1080/10601325.2012.703515,human gamma-globulin,,human serum,competitor protein in mixture,human gamma globulin,nan,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P01034,CYTC_HUMAN,Cystatin-C,Homo sapiens,146,15799,True,3
55,10.1080/10601325.2012.703515,lysozyme,,,competitor protein in mixture,lysozyme,nan,11.0,external_descriptor,UniProt,matched,usable,,P61626,LYSC_HUMAN,Lysozyme C,Homo sapiens,148,16537,True,3
56,10.1007/s12010-014-1273-8,bovine serum albumin,BSA,bovine; Sigma; bovine plasma,target protein for adsorption and purification,bovine serum albumin Bos taurus,66.5,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P02769,ALBU_BOVIN,Albumin,Bos taurus,607,69293,True,3
57,10.1007/s12010-014-1273-8,human serum albumin,HSA,human,contextual homolog mentioned in introduction,human serum albumin,nan,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P43652,AFAM_HUMAN,Afamin,Homo sapiens,599,69069,True,3
58,10.1002/app.42880,lysozyme,Lyz,hen egg white,template protein and target adsorbate,hen egg white lysozyme Gallus gallus,14.6,11.0,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P00698,LYSC_CHICK,Lysozyme C,Gallus gallus,147,16239,True,1
59,10.1002/app.42880,cytochrome c,Cyt c,equine heart,competitor protein,equine heart cytochrome c Equus caballus,12.3,10.0,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
60,10.1016/j.bej.2009.03.013,immunoglobulin G,IgG,human plasma in plasma experiments; unspecified commercial IgG in aqueous experiments,target protein,human immunoglobulin gamma,nan,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P0DOX5,IGG1_HUMAN,Immunoglobulin gamma-1 heavy chain,Homo sapiens,449,49329,True,3
61,10.1016/j.bej.2009.03.013,Protein A,,Staphylococcus aureus Cowan Strain I,immobilized affinity ligand,Staphylococcus aureus Protein A spa,nan,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,A0A0H3K686,SPA_STAAE,Immunoglobulin G-binding protein A,Staphylococcus aureus (strain Newman),508,55554,True,3
62,10.1016/j.bej.2009.03.013,human serum albumin,HSA,human serum,competitor protein,human serum albumin ALB,nan,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P02768,ALBU_HUMAN,Albumin,Homo sapiens,609,69367,True,3
63,10.1016/j.bej.2009.03.013,bovine serum albumin,BSA,bovine,blocking reagent,bovine serum albumin ALB,nan,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P49065,ALBU_RABIT,Albumin,Oryctolagus cuniculus,608,68910,True,3
64,10.1016/j.seppur.2023.124999,bovine serum albumin,BSA,bovine,"template, target protein",bovine serum albumin Bos taurus,64.5,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P02769,ALBU_BOVIN,Albumin,Bos taurus,607,69293,True,3
65,10.1016/j.seppur.2023.124999,bovine hemoglobin,BHb,bovine,reference protein and competitor,bovine hemoglobin Bos taurus,nan,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P02070,HBB_BOVIN,Hemoglobin subunit beta,Bos taurus,145,15954,True,3
66,10.1016/j.seppur.2023.124999,lysozyme,Lys,,reference protein and mixture competitor,lysozyme,nan,nan,external_descriptor,UniProt,matched,usable,,P61626,LYSC_HUMAN,Lysozyme C,Homo sapiens,148,16537,True,3
67,10.1016/j.seppur.2023.124999,cytochrome C,Cyt C,,reference protein,cytochrome c,nan,nan,external_descriptor,UniProt,matched,usable,,Q01519,COX12_YEAST,"Cytochrome c oxidase subunit 12, mitochondrial",Saccharomyces cerevisiae (strain ATCC 204508 / S288c),83,9788,True,3
68,10.1016/j.seppur.2023.124999,ovalbumin,OVA,chicken egg white,reference protein and mixture competitor,ovalbumin chicken,nan,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P01012,OVAL_CHICK,Ovalbumin,Gallus gallus,386,42881,True,3
69,10.1038/s41587-023-01973-8,albumin,,,model protein for hydrogel conjugation,albumin,nan,nan,external_descriptor,UniProt,matched,needs_review,broad_query_needs_accession_review,P02770,ALBU_RAT,Albumin,Rattus norvegicus,608,68731,True,3
70,10.1038/s41587-023-01973-8,bovine serum albumin,BSA,,FITC-tagged model protein / blocking protein,bovine serum albumin,nan,nan,external_descriptor,UniProt,matched,needs_review,broad_query_needs_accession_review,P02769,ALBU_BOVIN,Albumin,Bos taurus,607,69293,True,3
71,10.1038/s41587-023-01973-8,thrombin,T,human plasma,immobilized target protein for aptamer selection,human thrombin,nan,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P00734,THRB_HUMAN,Prothrombin,Homo sapiens,622,70037,True,3
72,10.1038/s41587-023-01973-8,granulocyte-macrophage colony-stimulating factor,GM-CSF,expressed in Spodoptera frugiperda SF21 insect cells,immobilized target protein for aptamer selection,GM-CSF,nan,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P48750,CSF2_RAT,Granulocyte-macrophage colony-stimulating factor,Rattus norvegicus,144,16562,True,3
73,10.1038/s41587-023-01973-8,interleukin-12,IL-12,murine IL-12,immobilized target protein for aptamer selection,mouse interleukin-12,nan,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P43432,IL12B_MOUSE,Interleukin-12 subunit beta,Mus musculus,335,38235,True,3
74,10.1038/s41587-023-01973-8,interleukin-10,IL-10,human IL-10,immobilized target protein for aptamer selection,human interleukin-10,nan,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P22301,IL10_HUMAN,Interleukin-10,Homo sapiens,178,20517,True,3
75,10.1038/s41587-023-01973-8,brain-derived neurotrophic factor,BDNF,expressed in Spodoptera frugiperda SF21 insect cells,immobilized target protein for aptamer selection,BDNF,nan,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P23560,BDNF_HUMAN,Neurotrophic factor BDNF precursor form,Homo sapiens,247,27818,True,3
76,10.1038/s41587-023-01973-8,human serum albumin,HSA,human,control protein in aptamer specificity testing,human serum albumin,nan,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P43652,AFAM_HUMAN,Afamin,Homo sapiens,599,69069,True,3
77,10.1021/la700248s,lysozyme,,chicken egg,template protein for Lys-MIP; adsorption target; competitor-study target,chicken egg lysozyme,14.4,10.5,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P00698,LYSC_CHICK,Lysozyme C,Gallus gallus,147,16239,True,3
78,10.1021/la700248s,cytochrome c,Cyt c,horse heart,"reference protein, competitor protein, and template for Cyt-MIP",horse heart cytochrome c,12.3,10.2,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P00004,CYC_HORSE,Cytochrome c,Equus caballus,105,11833,True,3
79,10.1080/09205063.2014.997560,lysozyme,,egg white,target protein adsorbed and desorbed,egg white lysozyme,14.4,11.2,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P00698,LYSC_CHICK,Lysozyme C,Gallus gallus,147,16239,True,3
80,10.1002/cjce.25660,ora-pro-nobis crude extract proteins,OPN proteins,Pereskia aculeata Miller leaves,target adsorbate mixture,Pereskia aculeata protein,nan,1.7,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,H6B9K3,H6B9K3_PERAC,"NAD(P)H-quinone oxidoreductase subunit 5, chloroplastic",Pereskia aculeata,668,75766,True,3
81,10.1002/cjce.25660,Pereskia aculeata proteins,,Pereskia aculeata Miller leaves,plant protein mixture in crude extract,Pereskia aculeata,nan,1.7,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,H6B9K3,H6B9K3_PERAC,"NAD(P)H-quinone oxidoreductase subunit 5, chloroplastic",Pereskia aculeata,668,75766,True,3
82,10.3390/molecules27217304,bovine serum albumin,BSA,bovine,template molecule and adsorption target,bovine serum albumin,67.0,4.8,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P02769,ALBU_BOVIN,Albumin,Bos taurus,607,69293,True,3
83,10.3390/molecules27217304,lysozyme,Lys,,reference protein,lysozyme,14.4,11.2,external_descriptor,UniProt,matched,usable,,P61626,LYSC_HUMAN,Lysozyme C,Homo sapiens,148,16537,True,3
84,10.3390/molecules27217304,bovine hemoglobin,BHb,bovine,reference and competitor protein,bovine hemoglobin,64.5,6.8,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P02070,HBB_BOVIN,Hemoglobin subunit beta,Bos taurus,145,15954,True,3
85,10.3390/molecules27217304,ovalbumin,OVA,,reference protein,ovalbumin,45.0,4.7,external_descriptor,UniProt,matched,needs_review,broad_query_needs_accession_review,P01012,OVAL_CHICK,Ovalbumin,Gallus gallus,386,42881,True,3
86,10.3390/molecules27217304,calf serum proteins,,calf serum,biological mixture matrix,calf serum albumin bovine serum proteins,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
87,10.1021/ma8027722,bovine hemoglobin,Bhb,bovine,template molecule and primary rebinding target,bovine hemoglobin,64.5,6.8,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P02070,HBB_BOVIN,Hemoglobin subunit beta,Bos taurus,145,15954,True,3
88,10.1021/ma8027722,bovine cytochrome c,cytochrome c,bovine,selectivity challenge protein,bovine cytochrome c,12.384,10.0,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P00430,COX7C_BOVIN,"Cytochrome c oxidase subunit 7C, mitochondrial",Bos taurus,63,7331,True,3
89,10.1016/j.cis.2024.103359,protein,,,generic foulant / adsorption target,,nan,nan,external_descriptor,UniProt,matched,needs_review,broad_query_needs_accession_review,Q9H3P7,GCP60_HUMAN,Golgi resident protein GCP60,Homo sapiens,528,60593,True,3
90,10.1016/j.cis.2024.103359,lysozyme,,,protein foulant / contact lens tear protein,lysozyme,nan,nan,external_descriptor,UniProt,matched,usable,,P61626,LYSC_HUMAN,Lysozyme C,Homo sapiens,148,16537,True,3
91,10.1016/j.cis.2024.103359,human serum albumin,HSA,human serum,protein foulant / contact lens deposition target,human serum albumin,nan,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P43652,AFAM_HUMAN,Afamin,Homo sapiens,599,69069,True,3
92,10.1016/j.cis.2024.103359,bovine serum albumin,BSA,bovine serum,membrane foulant,bovine serum albumin,nan,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P02769,ALBU_BOVIN,Albumin,Bos taurus,607,69293,True,3
93,10.1016/j.cis.2024.103359,mussel foot proteins,,mussel,adhesion protein,mussel foot protein,nan,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,A1X158,FP1V1_PERVI,Foot protein 1 variant 1,Perna viridis,561,63248,True,3
94,10.1007/s12010-022-04303-x,recombinant human erythropoietin,rhEPO,human recombinant; supplied by Pasteur Institute of Iran,main glycoprotein target,human erythropoietin EPO,35.0,4.4,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P01588,EPO_HUMAN,Erythropoietin,Homo sapiens,193,21307,True,3
95,10.1007/s12010-022-04303-x,bovine serum albumin,BSA,bovine; BSA fraction V,non-glycosylated control protein and competitor protein,bovine serum albumin ALB,66.5,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P49065,ALBU_RABIT,Albumin,Oryctolagus cuniculus,608,68910,True,3
96,10.1021/acs.langmuir.9b03204,alpha-lactalbumin,alpha-LA,milk serum; bovine alpha-lactalbumin implied by introduction and materials context,model globular protein ligand; low-lipophilicity protein,bovine alpha-lactalbumin,14.0,4.8,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P00711,LALBA_BOVIN,Alpha-lactalbumin,Bos taurus,142,16247,True,3
97,10.1021/acs.langmuir.9b03204,bovine serum albumin,BSA,bovine serum,model globular blood serum protein ligand; lipophilic protein,bovine serum albumin,66.0,4.8,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P02769,ALBU_BOVIN,Albumin,Bos taurus,607,69293,True,3
