doi,title,publisher,status,records_count,material_mentions_count,protein_mentions_count,special_fields_count,source_json,curation_decision,curation_reason,error_message
10.1002/admi.201900598,A Versatile Approach for the Assembly of Highly Tunable Biocatalytic Thin Films,Wiley,success,2,12,3,4,local_article_corpus/Wiley/10.1002_admi.201900598/10.1002_admi.201900598.json,include_records,Article yielded one or more extracted records.,
10.1002/admi.202002015,"Triple Modification of Alginate Hydrogels by Fibrin Blending, Iron Nanoparticle Embedding, and Serum Protein-Coating Synergistically Promotes Strong Endothelialization",Wiley,success,3,11,7,3,local_article_corpus/Wiley/10.1002_admi.202002015/10.1002_admi.202002015.json,include_records,Article yielded one or more extracted records.,
10.1002/admi.202201226,Synthesis of Ambient Copolymerization CQAS Hydrogel Composite Membrane with Enhanced Antifouling,Wiley,success,1,8,1,2,local_article_corpus/Wiley/10.1002_admi.202201226/10.1002_admi.202201226.json,include_records,Article yielded one or more extracted records.,
10.1002/admi.202500122,"Antifouling Surface-Attached Hydrogel Nanocoatings Redefined: Green Solvent-Based, Degradable, and High-Performance Protection Against Foulants",Wiley,success,11,12,3,4,local_article_corpus/Wiley/10.1002_admi.202500122/10.1002_admi.202500122.json,include_records,Article yielded one or more extracted records.,
10.1002/admi.202500147,Polymer Nanogels with Albumin Reporting Interface Created Using RAFT Precipitation Polymerization for Disease Diagnosis and Food Testing,Wiley,success,9,16,7,6,local_article_corpus/Wiley/10.1002_admi.202500147/10.1002_admi.202500147.json,include_records,Article yielded one or more extracted records.,
10.1002/admt.201800384,Direct Micropatterning of Phase Separation Membranes Using Hydrogel Soft Lithography,Wiley,partial,0,6,1,3,local_article_corpus/Wiley/10.1002_admt.201800384/10.1002_admt.201800384.json,exclude_no_records,No adsorption records were extracted; retain source metadata for traceability.,
10.1002/admt.202000911,Spray-Painted Hydrogel Coating for Marine Antifouling,Wiley,success,2,14,2,4,local_article_corpus/Wiley/10.1002_admt.202000911/10.1002_admt.202000911.json,include_records,Article yielded one or more extracted records.,
10.1002/admt.202101396,A New Rapid Microfluidic Detection Platform Utilizing Hydrogel-Membrane under Cross-Flow,Wiley,success,4,13,7,7,local_article_corpus/Wiley/10.1002_admt.202101396/10.1002_admt.202101396.json,include_records,Article yielded one or more extracted records.,
10.1002/admt.202400025,3D-Printed Hydrogel Filter for Biocatalytic CO2 Capture,Wiley,success,5,9,3,4,local_article_corpus/Wiley/10.1002_admt.202400025/10.1002_admt.202400025.json,include_records,Article yielded one or more extracted records.,
10.1002/adsr.202400198,On-Chip Multiplexed Voltammetry Using a Universal Antifouling Hydrogel and Porous Gold Foam Interface for Stress and Inflammation Monitoring,Wiley,success,8,13,10,5,local_article_corpus/Wiley/10.1002_adsr.202400198/10.1002_adsr.202400198.json,include_records,Article yielded one or more extracted records.,
10.1002/adtp.202500135,Selective Binding of Autoantibodies using Polymeric Gel for Management of Autoimmune Arthritis,Wiley,success,2,8,5,4,local_article_corpus/Wiley/10.1002_adtp.202500135/10.1002_adtp.202500135.json,include_records,Article yielded one or more extracted records.,
10.1002/advs.201800711,Antifouling Super Water Absorbent Supramolecular Polymer Hydrogel as an Artificial Vitreous Body,Wiley,success,4,7,1,3,local_article_corpus/Wiley/10.1002_advs.201800711/10.1002_advs.201800711.json,include_records,Article yielded one or more extracted records.,
10.1002/aic.10482,Multicomponent protein adsorption in supported cationic polyacrylamide hydrogels,Wiley,success,17,12,5,7,local_article_corpus/Wiley/10.1002_aic.10482/10.1002_aic.10482.json,include_records,Article yielded one or more extracted records.,
10.1002/aic.690490510,Protein partitioning and transport in supported cationic acrylamide-based hydrogels,Wiley,success,2,4,1,3,local_article_corpus/Wiley/10.1002_aic.690490510/10.1002_aic.690490510.json,include_records,Article yielded one or more extracted records.,
10.1002/anbr.202000079,Fluorescent Signaling of Molecularly Imprinted Nanogels Prepared via Postimprinting Modifications for Specific Protein Detection,Wiley,success,7,19,4,5,local_article_corpus/Wiley/10.1002_anbr.202000079/10.1002_anbr.202000079.json,include_records,Article yielded one or more extracted records.,
10.1002/anie.201310385,"Fluorogel Elastomers with Tunable Transparency, Elasticity, Shape-Memory, and Antifouling Properties†",Wiley,success,4,9,1,3,local_article_corpus/Wiley/10.1002_anie.201310385/10.1002_anie.201310385.json,include_records,Article yielded one or more extracted records.,
10.1002/anie.201404323,"Photodegradable Hydrogels for Capture, Detection, and Release of Live Cells†",Wiley,success,3,10,8,7,local_article_corpus/Wiley/10.1002_anie.201404323/10.1002_anie.201404323.json,include_records,Article yielded one or more extracted records.,
10.1002/anie.201404881,Polymer Nanoparticle Hydrogels with Autonomous Affinity Switching for the Protection of Proteins from Thermal Stress†,Wiley,success,11,5,1,4,local_article_corpus/Wiley/10.1002_anie.201404881/10.1002_anie.201404881.json,include_records,Article yielded one or more extracted records.,
10.1002/anie.201612667,Enzyme-Initiated Free-Radical Polymerization of Molecularly Imprinted Polymer Nanogels on a Solid Phase with an Immobilized Radical Source,Wiley,success,1,9,2,4,local_article_corpus/Wiley/10.1002_anie.201612667/10.1002_anie.201612667.json,include_records,Article yielded one or more extracted records.,
10.1002/anie.201700647,Molecularly Imprinted Nanogels Acquire Stealth In Situ by Cloaking Themselves with Native Dysopsonic Proteins,Wiley,success,5,3,6,7,local_article_corpus/Wiley/10.1002_anie.201700647/10.1002_anie.201700647.json,include_records,Article yielded one or more extracted records.,
10.1002/anie.201713428,Competitive Affinity Release for Long-Term Delivery of Antibodies from Hydrogels,Wiley,success,5,14,5,6,local_article_corpus/Wiley/10.1002_anie.201713428/10.1002_anie.201713428.json,include_records,Article yielded one or more extracted records.,
10.1002/anie.201805772,Highly Efficient Synthesis and Assay of Protein-Imprinted Nanogels by Using Magnetic Templates,Wiley,success,2,13,4,4,local_article_corpus/Wiley/10.1002_anie.201805772/10.1002_anie.201805772.json,include_records,Article yielded one or more extracted records.,
10.1002/anie.202002331,Nanogel Multienzyme Mimics Synthesized by Biocatalytic ATRP and Metal Coordination for Bioresponsive Fluorescence Imaging,Wiley,partial,0,6,3,3,local_article_corpus/Wiley/10.1002_anie.202002331/10.1002_anie.202002331.json,exclude_no_records,No adsorption records were extracted; retain source metadata for traceability.,
10.1002/anie.202106507,Molecularly Imprinted Polymer Nanogels for Protein Recognition: Direct Proof of Specific Binding Sites by Solution STD and WaterLOGSY NMR Spectroscopies,Wiley,success,12,19,10,7,local_article_corpus/Wiley/10.1002_anie.202106507/10.1002_anie.202106507.json,include_records,Article yielded one or more extracted records.,
10.1002/anie.202108847,Diarylethene-Based Photoswitchable Inhibitors of Serine Proteases,Wiley,partial,0,5,4,1,local_article_corpus/Wiley/10.1002_anie.202108847/10.1002_anie.202108847.json,exclude_no_records,No adsorption records were extracted; retain source metadata for traceability.,
10.1002/anie.202205125,Biomacromolecule-Fueled Transient Volume Phase Transition of a Hydrogel,Wiley,success,6,11,2,4,local_article_corpus/Wiley/10.1002_anie.202205125/10.1002_anie.202205125.json,include_records,Article yielded one or more extracted records.,
10.1002/anie.202306274,Synthetic Peptide Antibodies as TNF-α Inhibitors: Molecularly Imprinted Polymer Nanogels Neutralize the Inflammatory Activity of TNF-α in THP-1 Derived Macrophages,Wiley,success,4,10,6,5,local_article_corpus/Wiley/10.1002_anie.202306274/10.1002_anie.202306274.json,include_records,Article yielded one or more extracted records.,
10.1002/anie.202425456,Intrinsically Disordered Peptide Nanofibers from a Structured Motif Within Proteins,Wiley,success,2,7,5,3,local_article_corpus/Wiley/10.1002_anie.202425456/10.1002_anie.202425456.json,include_records,Article yielded one or more extracted records.,
10.1002/anie.202516010,"A High Modulus, Multi-Stimuli Responsive, Interwoven Protein Network With Topologically Confined Micro-Association",Wiley,success,3,10,7,3,local_article_corpus/Wiley/10.1002_anie.202516010/10.1002_anie.202516010.json,include_records,Article yielded one or more extracted records.,
10.1002/app.1794,Synthesis of polymer particles with specific lysozyme recognition sites by a molecular imprinting technique,Wiley,success,5,11,4,5,local_article_corpus/Wiley/10.1002_app.1794/10.1002_app.1794.json,include_records,Article yielded one or more extracted records.,
10.1002/app.20001,Surface modification of silicone rubber with poly(ethylene glycol) hydrogel coatings,Wiley,success,6,13,1,4,local_article_corpus/Wiley/10.1002_app.20001/10.1002_app.20001.json,include_records,Article yielded one or more extracted records.,
10.1002/app.20244,Immobilization of lipase on hydrogels: Structural aspects of polymeric matrices as determinants of enzyme activity in different physical environments,Wiley,success,9,13,2,4,local_article_corpus/Wiley/10.1002_app.20244/10.1002_app.20244.json,include_records,Article yielded one or more extracted records.,
10.1002/app.23370,Preparation and characterization of novel pH-sensitive binary grafted polymeric blends of gelatin and poly(vinyl alcohol): Water sorption and blood compatibility study,Wiley,success,15,11,2,6,local_article_corpus/Wiley/10.1002_app.23370/10.1002_app.23370.json,include_records,Article yielded one or more extracted records.,
10.1002/app.24127,"Adsorption of fibrinogen onto macroporous, biocompatible sponges based on poly(2-hydroxyethyl methacrylate)",Wiley,success,22,13,5,5,local_article_corpus/Wiley/10.1002_app.24127/10.1002_app.24127.json,include_records,Article yielded one or more extracted records.,
10.1002/app.25147,Preparation and protein adsorption of hydrogel polysucrose microspheres,Wiley,success,3,8,1,4,local_article_corpus/Wiley/10.1002_app.25147/10.1002_app.25147.json,include_records,Article yielded one or more extracted records.,
10.1002/app.25500,Preparation and properties of modified PHEMA hydrogel with sulfonated PEG graft,Wiley,success,1,8,1,3,local_article_corpus/Wiley/10.1002_app.25500/10.1002_app.25500.json,include_records,Article yielded one or more extracted records.,
10.1002/app.25580,Preparation and characterization of macroporous poly(2-hydroxyethyl methacrylate)-based biomaterials: Water sorption property and in vitro blood compatibility,Wiley,success,12,11,2,4,local_article_corpus/Wiley/10.1002_app.25580/10.1002_app.25580.json,include_records,Article yielded one or more extracted records.,
10.1002/app.26187,Poly(acrylamide-allyl glycidyl ether) cryogel as a novel stationary phase in dye-affinity chromatography,Wiley,success,10,11,4,5,local_article_corpus/Wiley/10.1002_app.26187/10.1002_app.26187.json,include_records,Article yielded one or more extracted records.,
10.1002/app.26931,Amphoteric hydrogels for immobilization of enzymes using template polymerization technique,Wiley,success,1,8,3,3,local_article_corpus/Wiley/10.1002_app.26931/10.1002_app.26931.json,include_records,Article yielded one or more extracted records.,
10.1002/app.28062,Heparin-coated poly(hydroxyethyl methacrylate/albumin) hydrogel networks: In vitro hemocompatibility evaluation for vascular biomaterials,Wiley,success,4,14,4,4,local_article_corpus/Wiley/10.1002_app.28062/10.1002_app.28062.json,include_records,Article yielded one or more extracted records.,
10.1002/app.28241,Synthesis of geranyl butyrate with the poly(acrylic acid-co-hydroxy propyl methacrylate-cl-ethylene glycol dimethacrylate) hydrogel immobilized lipase of Pseudomonas aeruginosa MTCC-4713,Wiley,success,20,13,2,4,local_article_corpus/Wiley/10.1002_app.28241/10.1002_app.28241.json,include_records,Article yielded one or more extracted records.,
10.1002/app.28345,Preparation of Zn2+-chelated poly(HEMA-MAH) cryogel for affinity purification of chicken egg lysozyme,Wiley,success,7,8,2,6,local_article_corpus/Wiley/10.1002_app.28345/10.1002_app.28345.json,include_records,Article yielded one or more extracted records.,
10.1002/app.28539,"Properties and application of poly(methacrylic acid-co-dodecyl methacrylate-cl-N,N-methylene bisacrylamide) hydrogel immobilized Bacillus cereus MTCC 8372 lipase for the synthesis of geranyl acetate",Wiley,success,1,8,1,4,local_article_corpus/Wiley/10.1002_app.28539/10.1002_app.28539.json,include_records,Article yielded one or more extracted records.,
10.1002/app.29216,Preparation of comb-type grafted hydrogels composed of polyacrylamide and chitosan and their use for DNA adsorption,Wiley,partial,0,10,2,2,local_article_corpus/Wiley/10.1002_app.29216/10.1002_app.29216.json,exclude_no_records,No adsorption records were extracted; retain source metadata for traceability.,
10.1002/app.29325,Stability and activity of chymotrypsin immobilized on magnetic nanogels covered with carboxyl groups,Wiley,success,5,13,4,8,local_article_corpus/Wiley/10.1002_app.29325/10.1002_app.29325.json,include_records,Article yielded one or more extracted records.,
10.1002/app.29580,"Cyclodextrin-anionic polysaccharide hydrogels: Synthesis, characterization, and interaction with some organic molecules (water pollutants, drugs, proteins)",Wiley,success,5,11,1,6,local_article_corpus/Wiley/10.1002_app.29580/10.1002_app.29580.json,include_records,Article yielded one or more extracted records.,
10.1002/app.31055,Preparation of amphiphilic phenyl-polysucrose microspheres for protein adsorption,Wiley,success,6,10,1,3,local_article_corpus/Wiley/10.1002_app.31055/10.1002_app.31055.json,include_records,Article yielded one or more extracted records.,
10.1002/app.31505,Preparation and characterization of metal-chelated poly(HEMA-MAH) monolithic cryogels and their use for DNA adsorption,Wiley,partial,0,9,3,3,local_article_corpus/Wiley/10.1002_app.31505/10.1002_app.31505.json,exclude_no_records,No adsorption records were extracted; retain source metadata for traceability.,
10.1002/app.32061,Specific rebinding property of protein macromolecularly imprinted polymer microspheres based on calcium alginate hydrogel via gas jetting-dropping method,Wiley,success,5,6,2,4,local_article_corpus/Wiley/10.1002_app.32061/10.1002_app.32061.json,include_records,Article yielded one or more extracted records.,
10.1002/app.33283,Polyacrylamide-grafted carboxymethyl cellulose: Smart pH-sensitive hydrogel for protein concentration,Wiley,success,5,9,1,5,local_article_corpus/Wiley/10.1002_app.33283/10.1002_app.33283.json,include_records,Article yielded one or more extracted records.,
10.1002/app.33960,Enhancing protein resistance of hydrogels based on poly(2-hydroxyethyl methacrylate) and poly(2-methacryloyloxyethyl phosphorylcholine) with interpenetrating network structure,Wiley,success,7,12,1,5,local_article_corpus/Wiley/10.1002_app.33960/10.1002_app.33960.json,include_records,Article yielded one or more extracted records.,
10.1002/app.34263,The imprinting induce-fit model of specific rebinding of macromolecularly imprinted polymer microspheres,Wiley,success,14,6,2,4,local_article_corpus/Wiley/10.1002_app.34263/10.1002_app.34263.json,include_records,Article yielded one or more extracted records.,
10.1002/app.34911,Evaluation of chitosan tripolyphosphate gel beads as bioadsorbents for iron in aqueous solution and in human blood in vitro,Wiley,success,7,11,5,4,local_article_corpus/Wiley/10.1002_app.34911/10.1002_app.34911.json,include_records,Article yielded one or more extracted records.,
10.1002/app.35687,Imparting antifouling properties of silicone hydrogels by grafting poly(ethylene glycol) methyl ether acrylate initiated by UV light,Wiley,success,3,8,3,4,local_article_corpus/Wiley/10.1002_app.35687/10.1002_app.35687.json,include_records,Article yielded one or more extracted records.,
10.1002/app.36660,Effect of magnetization on the gel structure and protein electrophoresis in polyacrylamide hydrogel nanocomposites,Wiley,partial,0,9,2,4,local_article_corpus/Wiley/10.1002_app.36660/10.1002_app.36660.json,exclude_no_records,No adsorption records were extracted; retain source metadata for traceability.,
10.1002/app.37730,Stimuli-responsive recognition of BSA-imprinted poly vinyl acetate grafted calcium alginate core-shell hydrogel microspheres,Wiley,success,8,15,2,8,local_article_corpus/Wiley/10.1002_app.37730/10.1002_app.37730.json,include_records,Article yielded one or more extracted records.,
10.1002/app.37992,Acrylic hydrogels-based biocomposites: Synthesis and characterization,Wiley,success,7,11,2,4,local_article_corpus/Wiley/10.1002_app.37992/10.1002_app.37992.json,include_records,Article yielded one or more extracted records.,
10.1002/app.39635,Dual stimuli responsive glycidyl methacrylate chitosan-quaternary ammonium hybrid hydrogel and its bovine serum albumin release,Wiley,success,5,11,2,3,local_article_corpus/Wiley/10.1002_app.39635/10.1002_app.39635.json,include_records,Article yielded one or more extracted records.,
10.1002/app.39727,Dual application of cryogel as solid support in peptide synthesis and subsequent protein-capture,Wiley,success,5,14,5,6,local_article_corpus/Wiley/10.1002_app.39727/10.1002_app.39727.json,include_records,Article yielded one or more extracted records.,
10.1002/app.39816,Thermoresponsive/low-fouling Zwitterionic hydrogel for controlled drug release,Wiley,success,4,8,3,4,local_article_corpus/Wiley/10.1002_app.39816/10.1002_app.39816.json,include_records,Article yielded one or more extracted records.,
10.1002/app.40098,Multiresponsive polyanionic microgels with inverse pH responsive behavior by encapsulation of polycationic nanogels,Wiley,success,4,11,1,3,local_article_corpus/Wiley/10.1002_app.40098/10.1002_app.40098.json,include_records,Article yielded one or more extracted records.,
10.1002/app.40323,Influence of gelling properties on protein imprinted agarose gel membrane,Wiley,success,9,18,3,6,local_article_corpus/Wiley/10.1002_app.40323/10.1002_app.40323.json,include_records,Article yielded one or more extracted records.,
10.1002/app.40946,Thermoresponsive hydrogels from BSA esterified with low molecular weight PEG,Wiley,partial,0,5,2,3,local_article_corpus/Wiley/10.1002_app.40946/10.1002_app.40946.json,exclude_no_records,No adsorption records were extracted; retain source metadata for traceability.,
10.1002/app.41041,Synthesis and drug-release studies of low-fouling zwitterionic hydrogels with enhanced mechanical strength,Wiley,success,3,13,1,3,local_article_corpus/Wiley/10.1002_app.41041/10.1002_app.41041.json,include_records,Article yielded one or more extracted records.,
10.1002/app.41366,Effect of electrostatic functional monomers on lysozyme recognition by molecularly imprinted hydrogel,Wiley,success,4,8,1,5,local_article_corpus/Wiley/10.1002_app.41366/10.1002_app.41366.json,include_records,Article yielded one or more extracted records.,
10.1002/app.41537,Salt and pH sensitive semi-interpenetrating polyelectrolyte hydrogels poly(HEMA-co-METAC)/PEG and its BSA adsorption behavior,Wiley,success,4,10,3,3,local_article_corpus/Wiley/10.1002_app.41537/10.1002_app.41537.json,include_records,Article yielded one or more extracted records.,
