field,before_present,after_present,delta_present,total,before_coverage_pct,after_coverage_pct,delta_coverage_pct
outcome.q_norm_mg_mL_bed,150,192,42,6436,2.33,2.98,0.65
outcome.raw_metric_name,6436,6436,0,6436,100.0,100.0,0.0
outcome.raw_metric_unit,5177,5384,207,6436,80.44,83.65,3.21
outcome.raw_metric_value,6001,6099,98,6436,93.24,94.76,1.52
outcome.recovery_pct,474,572,98,6436,7.36,8.89,1.53
outcome.removal_efficiency_pct,163,251,88,6436,2.53,3.9,1.37
outcome.retained_capacity_pct,353,560,207,6436,5.48,8.7,3.22
outcome.selectivity_factor,251,311,60,6436,3.9,4.83,0.93
outcome.surface_adsorption_ug_cm2,382,410,28,6436,5.94,6.37,0.43
protein.charge_at_experiment_pH,2287,2377,90,6436,35.53,36.93,1.4
protein.competitor_proteins,1210,1569,359,6436,18.8,24.38,5.58
protein.molecular_weight_kDa,2308,2571,263,6436,35.86,39.95,4.09
protein.pI,2065,2218,153,6436,32.09,34.46,2.37
protein.protein_abbreviation,4978,4978,0,6436,77.35,77.35,0.0
protein.protein_class,6342,6342,0,6436,98.54,98.54,0.0
protein.protein_initial_concentration,4571,5147,576,6436,71.02,79.97,8.95
protein.protein_matrix,6006,6069,63,6436,93.32,94.3,0.98
protein.protein_name,6429,6429,0,6436,99.89,99.89,0.0
protein.protein_species_or_source,5381,5381,0,6436,83.61,83.61,0.0
provenance.doi,6436,6436,0,6436,100.0,100.0,0.0
provenance.evidence_text,6436,6436,0,6436,100.0,100.0,0.0
provenance.extraction_confidence,6436,6436,0,6436,100.0,100.0,0.0
provenance.source_section,6436,6436,0,6436,100.0,100.0,0.0
provenance.source_table_or_figure,6043,6043,0,6436,93.89,93.89,0.0
provenance.title,6436,6436,0,6436,100.0,100.0,0.0
quality.missing_conditions,6178,6178,0,6436,95.99,95.99,0.0
quality.needs_manual_review,6436,6436,0,6436,100.0,100.0,0.0
quality.source_quality_score,6436,6436,0,6436,100.0,100.0,0.0
quality.unit_normalized,6436,6436,0,6436,100.0,100.0,0.0
