"field","column","description","present","total","coverage_pct"
"protein.charge_at_experiment_pH","protein__charge_at_experiment_pH","Reported or inferred protein charge at assay pH.","2377","6436","36.93"
"protein.protein_initial_concentration","protein__protein_initial_concentration","Initial protein concentration.","5147","6436","79.97"
"protein.protein_matrix","protein__protein_matrix","Matrix, such as buffer, serum, plasma, or crude extract.","6069","6436","94.3"
"protein.competitor_proteins","protein__competitor_proteins","Competitor proteins.","6436","6436","100.0"
"experiment.experiment_mode","experiment__experiment_mode","Batch, surface, column, SPR/QCM, or other assay mode.","6436","6436","100.0"
"experiment.hydrogel_dosage","experiment__hydrogel_dosage","Hydrogel dosage.","3790","6436","58.89"
"experiment.solution_volume","experiment__solution_volume","Solution volume.","3954","6436","61.44"
"experiment.pH","experiment__pH","Assay pH.","4618","6436","71.75"
"experiment.buffer","experiment__buffer","Assay buffer.","5208","6436","80.92"
"experiment.ionic_strength","experiment__ionic_strength","Ionic strength.","1550","6436","24.08"
"experiment.salt_type","experiment__salt_type","Salt type.","3335","6436","51.82"
"experiment.salt_concentration","experiment__salt_concentration","Salt concentration.","2714","6436","42.17"
"experiment.temperature_C","experiment__temperature_C","Assay temperature.","4439","6436","68.97"
"experiment.contact_time","experiment__contact_time","Contact or incubation time.","5063","6436","78.67"
"experiment.flow_rate","experiment__flow_rate","Flow rate.","1340","6436","20.82"
"experiment.detection_method","experiment__detection_method","Detection or quantification method.","6154","6436","95.62"
"experiment.replicate_count","experiment__replicate_count","Replicate count.","1882","6436","29.24"
"experiment.adsorption_type","experiment__adsorption_type","Endpoint, equilibrium, kinetic, dynamic, or unknown.","6435","6436","99.98"
"experiment.competition_system","experiment__competition_system","Single protein, binary, serum, plasma, blood, or other competition context.","5597","6436","86.96"
"outcome.outcome_label","outcome__outcome_label","Qualitative outcome label.","6436","6436","100.0"
"outcome.raw_metric_name","outcome__raw_metric_name","Metric name as reported.","6436","6436","100.0"
"outcome.raw_metric_value","outcome__raw_metric_value","Metric value as reported.","6099","6436","94.76"
"outcome.raw_metric_unit","outcome__raw_metric_unit","Metric unit as reported.","5384","6436","83.65"
"outcome.q_norm_mg_g","outcome__q_norm_mg_g","Normalized capacity in mg/g if extractable.","1651","6436","25.65"
"outcome.q_norm_mg_mL_bed","outcome__q_norm_mg_mL_bed","Normalized capacity in mg/mL bed if extractable.","192","6436","2.98"
"outcome.surface_adsorption_ug_cm2","outcome__surface_adsorption_ug_cm2","Surface adsorption in microgram per square centimeter.","410","6436","6.37"
"outcome.removal_efficiency_pct","outcome__removal_efficiency_pct","Removal efficiency percentage.","251","6436","3.9"
"outcome.binding_efficiency_pct","outcome__binding_efficiency_pct","Binding efficiency percentage.","473","6436","7.35"
"outcome.recovery_pct","outcome__recovery_pct","Recovery percentage.","572","6436","8.89"
"outcome.purity_pct","outcome__purity_pct","Purity percentage.","136","6436","2.11"
"outcome.fouling_reduction_pct","outcome__fouling_reduction_pct","Fouling reduction percentage.","362","6436","5.62"
"outcome.retained_capacity_pct","outcome__retained_capacity_pct","Retained capacity percentage.","560","6436","8.7"
"outcome.dynamic_binding_capacity","outcome__dynamic_binding_capacity","Dynamic binding capacity as reported, including its original units when available.","163","6436","2.53"
"outcome.selectivity_factor","outcome__selectivity_factor","Selectivity factor as reported for competitive or imprinted systems.","311","6436","4.83"
"outcome.imprinting_factor","outcome__imprinting_factor","Imprinting factor for molecularly imprinted hydrogel systems.","317","6436","4.93"
"outcome.association_constant_Ka","outcome__association_constant_Ka","Association constant as reported, including its original units when available.","144","6436","2.24"
"outcome.dissociation_constant_Kd","outcome__dissociation_constant_Kd","Dissociation constant as reported, including its original units when available.","263","6436","4.09"
"outcome.isotherm_model","outcome__isotherm_model","Reported adsorption isotherm model.","781","6436","12.13"
"outcome.kinetic_model","outcome__kinetic_model","Reported adsorption kinetic model.","674","6436","10.47"
"mechanism.mechanism_tags","mechanism__mechanism_tags","Mechanism tags extracted from the article.","6436","6436","100.0"
"mechanism.control_type","mechanism__control_type","Control/comparator type.","6034","6436","93.75"
"mechanism.control_material","mechanism__control_material","Control/comparator material.","5696","6436","88.5"
"mechanism.fold_change_vs_control","mechanism__fold_change_vs_control","Fold change versus control.","1788","6436","27.78"
"quality.unit_normalized","quality__unit_normalized","Whether the outcome value was normalized.","6436","6436","100.0"
"quality.source_quality_score","quality__source_quality_score","Source quality score from 0 to 3.","6436","6436","100.0"
"quality.needs_manual_review","quality__needs_manual_review","Whether the record should be manually reviewed.","6436","6436","100.0"
"standardization.interaction_type","interaction_type","Controlled interaction class: physical adsorption, nonspecific adsorption, selective adsorption, affinity binding, covalent immobilization, entrapment, antifouling low adsorption, protein fouling, or unknown.","6191","6436","96.19"
"standardization.is_covalent_binding","is_covalent_binding","yes/no/unclear flag indicating whether protein binding or immobilization is covalent.","6436","6436","100"
"standardization.experiment_mode_primary","experiment_mode_primary","Coarse controlled assay mode derived from experiment_mode, adsorption_type, detection method, outcome, and evidence.","6436","6436","100"
"standardization.experiment_mode_detail","experiment_mode_detail","Fine controlled assay mode derived from the same fields while preserving the original experiment_mode text.","6436","6436","100"
"standardization.application_context","application_context","Controlled application context: biointerface adsorption, purification, antifouling, protein immobilization, hemocompatibility, screening library, mechanism study, or other.","6436","6436","100"
"standardization.comparable_target_class","comparable_target_class","Comparability tier for the selected target: strong, medium, weak, or not_comparable.","6436","6436","100"
"standardization.model_ready","model_ready","Curated model-ready flag using standardized interaction/application/comparability fields.","6436","6436","100"
"standardization.model_ready_blocker","model_ready_blocker","Semicolon-separated reasons preventing model_ready=true, or ready.","6436","6436","100"
"standardization.manual_review_priority","manual_review_priority","Rule-derived manual review priority: high, medium, or low.","6436","6436","100"
"standardization.q5_protein_evidence_flag","q5_protein_evidence_flag","Whether an antifouling/low-adsorption candidate has protein, serum, plasma, albumin, fibrinogen, IgG, or total-protein evidence.","6436","6436","100"
"standardization.q5_triage_action","q5_triage_action","Q5 protein-antifouling rule action: keep, downweight, exclude_candidate, or not_applicable.","6436","6436","100"
"standardization.standardization_rules_version","standardization_rules_version","Version identifier for the deterministic standardization rules.","6436","6436","100"
