doi,article_title,article_status,records_count,model_ready_count,missing_completion_cells,possible_completion_cells,missing_completion_pct,priority_score,fully_missing_fields,source_json
10.1021/la703963f,Thermosensitive and Salt-Sensitive Molecularly Imprinted Hydrogel for Bovine Serum Albumin,success,20,13,336,740,45.41,89.54,hydrogel__substrate_or_support;hydrogel_properties__water_content_pct;hydrogel_properties__porosity_pct;hydrogel_properties__surface_area;hydrogel_properties__particle_size;hydrogel_properties__roughness;hydrogel_properties__zeta_potential_mV;hydrogel_properties__contact_angle_deg,D:\Projects\AtctiveOPV\PHA\data\article_data\ACS\10.1021_la703963f\10.1021_la703963f.json
10.1021/ma021186k,Synthesis and Protein Adsorption Resistance of PEG-Modified Poly(N-isopropylacrylamide) Core/Shell Microgels,success,14,14,266,518,51.35,89.14,hydrogel__substrate_or_support;hydrogel__preparation_pH;hydrogel_properties__charge_class;hydrogel_properties__swelling_ratio;hydrogel_properties__water_content_pct;hydrogel_properties__porosity_pct;hydrogel_properties__pore_size;hydrogel_properties__mesh_size;hydrogel_properties__surface_area;hydrogel_properties__thickness;hydrogel_properties__roughness;hydrogel_properties__zeta_potential_mV;hydrogel_properties__contact_angle_deg;hydrogel_properties__young_modulus;hydrogel_properties__degradation_or_stability;protein__molecular_weight_kDa;protein__pI;outcome__isotherm_model;outcome__kinetic_model,D:\Projects\AtctiveOPV\PHA\data\article_data\ACS\10.1021_ma021186k\10.1021_ma021186k.json
10.1002/cjce.25660,Optimization of ion exchange cryogel functionalization via the epoxy method for protein adsorption from ora-pro-nobis (Pereskia aculeata),success,17,13,330,629,52.46,87.25,hydrogel__monomer_ratios;hydrogel__crosslinker_concentration;hydrogel__substrate_or_support;hydrogel__preparation_solvent;hydrogel__preparation_pH;hydrogel_properties__mesh_size;hydrogel_properties__surface_area;hydrogel_properties__thickness;hydrogel_properties__roughness;hydrogel_properties__zeta_potential_mV;hydrogel_properties__contact_angle_deg;protein__molecular_weight_kDa;outcome__kinetic_model,D:\Projects\AtctiveOPV\PHA\data\article_data\Wiley\10.1002_cjce.25660\10.1002_cjce.25660.json
10.1016/j.chroma.2025.465801,Mass production of cation-exchange cryogels and their chromatographic adsorption performance for bioseparation,success,15,13,254,555,45.77,84.58,hydrogel__preparation_pH;hydrogel__gelation_time;hydrogel_properties__swelling_ratio;hydrogel_properties__water_content_pct;hydrogel_properties__porosity_pct;hydrogel_properties__mesh_size;hydrogel_properties__surface_area;hydrogel_properties__roughness;hydrogel_properties__zeta_potential_mV;hydrogel_properties__contact_angle_deg;hydrogel_properties__young_modulus;hydrogel_properties__degradation_or_stability;protein__molecular_weight_kDa;protein__pI;outcome__kinetic_model,D:\Projects\AtctiveOPV\PHA\data\article_data\Elsevier\10.1016_j.chroma.2025.465801\10.1016_j.chroma.2025.465801.json
10.1016/j.ab.2005.01.042,Quantitative immunoassay of biotoxins on hydrogel-based protein microchips,success,22,11,592,814,72.73,84.27,hydrogel__monomer_ratios;hydrogel__crosslinker;hydrogel__crosslinker_concentration;hydrogel__preparation_solvent;hydrogel__preparation_pH;hydrogel__preparation_temp_C;hydrogel__gelation_time;hydrogel_properties__charge_class;hydrogel_properties__swelling_ratio;hydrogel_properties__water_content_pct;hydrogel_properties__porosity_pct;hydrogel_properties__mesh_size;hydrogel_properties__surface_area;hydrogel_properties__thickness;hydrogel_properties__roughness;hydrogel_properties__zeta_potential_mV;hydrogel_properties__contact_angle_deg;hydrogel_properties__young_modulus;hydrogel_properties__responsive_type;protein__pI;outcome__kinetic_model,D:\Projects\AtctiveOPV\PHA\data\article_data\Elsevier\10.1016_j.ab.2005.01.042\10.1016_j.ab.2005.01.042.json
10.1007/s12010-014-0844-z,Molecularly Imprinted Supermacroporous Cryogels for Myoglobin Recognition,success,18,12,245,666,36.79,81.68,hydrogel_properties__charge_class;hydrogel_properties__porosity_pct;hydrogel_properties__surface_area;hydrogel_properties__particle_size;hydrogel_properties__thickness;hydrogel_properties__roughness;hydrogel_properties__zeta_potential_mV;hydrogel_properties__contact_angle_deg;hydrogel_properties__young_modulus;outcome__isotherm_model;outcome__kinetic_model,D:\Projects\AtctiveOPV\PHA\data\article_data\Springer\10.1007_s12010-014-0844-z\10.1007_s12010-014-0844-z.json
10.1016/j.colsurfb.2015.04.004,Megaporous poly(hydroxy ethylmethacrylate) based poly(glycidylmethacrylate-N-methacryloly-(l)-tryptophan) embedded composite cryogel,success,15,12,338,555,60.9,81.09,hydrogel__monomer_ratios;hydrogel__crosslinker_concentration;hydrogel__preparation_pH;hydrogel_properties__charge_class;hydrogel_properties__water_content_pct;hydrogel_properties__porosity_pct;hydrogel_properties__mesh_size;hydrogel_properties__particle_size;hydrogel_properties__thickness;hydrogel_properties__roughness;hydrogel_properties__zeta_potential_mV;hydrogel_properties__young_modulus;hydrogel_properties__degradation_or_stability;outcome__isotherm_model;outcome__kinetic_model,D:\Projects\AtctiveOPV\PHA\data\article_data\Elsevier\10.1016_j.colsurfb.2015.04.004\10.1016_j.colsurfb.2015.04.004.json
10.1021/acs.biomac.4c01097,Enzyme Activity Inhibition of α-Amylase Using Molecularly Imprinted Polymer (MIP) Hydrogel Microparticles,success,14,12,364,518,70.27,81.03,hydrogel__monomer_ratios;hydrogel__crosslinker_concentration;hydrogel__substrate_or_support;hydrogel__preparation_pH;hydrogel__preparation_temp_C;hydrogel__gelation_time;hydrogel_properties__charge_class;hydrogel_properties__swelling_ratio;hydrogel_properties__water_content_pct;hydrogel_properties__porosity_pct;hydrogel_properties__pore_size;hydrogel_properties__mesh_size;hydrogel_properties__surface_area;hydrogel_properties__thickness;hydrogel_properties__roughness;hydrogel_properties__zeta_potential_mV;hydrogel_properties__contact_angle_deg;hydrogel_properties__young_modulus;hydrogel_properties__degradation_or_stability;protein__molecular_weight_kDa;protein__pI;experiment__pH;experiment__temperature_C;experiment__contact_time;outcome__isotherm_model;outcome__kinetic_model,D:\Projects\AtctiveOPV\PHA\data\article_data\ACS\10.1021_acs.biomac.4c01097\10.1021_acs.biomac.4c01097.json
10.1016/j.reactfunctpolym.2013.03.009,Immunoglobulin G recognition with Fab fragments imprinted monolithic cryogels: Evaluation of the effects of metal-ion assisted-coordination of template molecule,success,16,12,285,592,48.14,80.81,hydrogel__preparation_pH;hydrogel_properties__charge_class;hydrogel_properties__surface_area;hydrogel_properties__particle_size;hydrogel_properties__thickness;hydrogel_properties__roughness;hydrogel_properties__zeta_potential_mV;hydrogel_properties__contact_angle_deg;hydrogel_properties__young_modulus;hydrogel_properties__responsive_type;protein__pI;outcome__kinetic_model,D:\Projects\AtctiveOPV\PHA\data\article_data\Elsevier\10.1016_j.reactfunctpolym.2013.03.009\10.1016_j.reactfunctpolym.2013.03.009.json
10.1002/app.23370,Preparation and characterization of novel pH-sensitive binary grafted polymeric blends of gelatin and poly(vinyl alcohol): Water sorption and blood compatibility study,success,15,12,302,555,54.41,80.44,hydrogel__substrate_or_support;hydrogel__preparation_solvent;hydrogel__preparation_pH;hydrogel__gelation_time;hydrogel__post_treatment;hydrogel_properties__swelling_ratio;hydrogel_properties__water_content_pct;hydrogel_properties__porosity_pct;hydrogel_properties__mesh_size;hydrogel_properties__surface_area;hydrogel_properties__particle_size;hydrogel_properties__thickness;hydrogel_properties__roughness;hydrogel_properties__zeta_potential_mV;hydrogel_properties__contact_angle_deg;hydrogel_properties__young_modulus;hydrogel_properties__degradation_or_stability;experiment__temperature_C;outcome__isotherm_model;outcome__kinetic_model,D:\Projects\AtctiveOPV\PHA\data\article_data\Wiley\10.1002_app.23370\10.1002_app.23370.json
10.1021/acsami.2c19877,Protein Release by Controlled Desorption from Transiently Cationic Nanoparticles,success,19,11,347,703,49.36,78.94,hydrogel__crosslinker_concentration;hydrogel__substrate_or_support;hydrogel__preparation_pH;hydrogel__gelation_time;hydrogel_properties__swelling_ratio;hydrogel_properties__water_content_pct;hydrogel_properties__porosity_pct;hydrogel_properties__pore_size;hydrogel_properties__mesh_size;hydrogel_properties__surface_area;hydrogel_properties__thickness;hydrogel_properties__roughness;hydrogel_properties__contact_angle_deg;hydrogel_properties__young_modulus;outcome__isotherm_model,D:\Projects\AtctiveOPV\PHA\data\article_data\ACS\10.1021_acsami.2c19877\10.1021_acsami.2c19877.json
10.1016/j.colsurfa.2026.140603,Tailored nanocomposite hydrogels with electrostatic-hydrophobic strategy for efficient protein adsorption,success,18,11,359,666,53.9,78.39,hydrogel__monomer_ratios;hydrogel__crosslinker_concentration;hydrogel__substrate_or_support;hydrogel__preparation_solvent;hydrogel__preparation_pH;hydrogel__preparation_temp_C;hydrogel__gelation_time;hydrogel_properties__water_content_pct;hydrogel_properties__porosity_pct;hydrogel_properties__pore_size;hydrogel_properties__mesh_size;hydrogel_properties__surface_area;hydrogel_properties__particle_size;hydrogel_properties__thickness;hydrogel_properties__young_modulus;protein__molecular_weight_kDa;protein__pI,D:\Projects\AtctiveOPV\PHA\data\article_data\Elsevier\10.1016_j.colsurfa.2026.140603\10.1016_j.colsurfa.2026.140603.json
10.1016/j.talanta.2018.08.084,Preparation and specific recognition of protein macromolecularly imprinted polyampholyte hydrogel,success,14,12,216,518,41.7,78.17,hydrogel__substrate_or_support;hydrogel_properties__water_content_pct;hydrogel_properties__porosity_pct;hydrogel_properties__mesh_size;hydrogel_properties__surface_area;hydrogel_properties__particle_size;hydrogel_properties__roughness;hydrogel_properties__zeta_potential_mV;hydrogel_properties__contact_angle_deg;hydrogel_properties__young_modulus,D:\Projects\AtctiveOPV\PHA\data\article_data\Elsevier\10.1016_j.talanta.2018.08.084\10.1016_j.talanta.2018.08.084.json
10.1002/app.25580,Preparation and characterization of macroporous poly(2-hydroxyethyl methacrylate)-based biomaterials: Water sorption property and in vitro blood compatibility,success,12,12,272,444,61.26,78.13,hydrogel__substrate_or_support;hydrogel__preparation_solvent;hydrogel__preparation_pH;hydrogel__preparation_temp_C;hydrogel__gelation_time;hydrogel__post_treatment;hydrogel_properties__water_content_pct;hydrogel_properties__porosity_pct;hydrogel_properties__mesh_size;hydrogel_properties__surface_area;hydrogel_properties__particle_size;hydrogel_properties__thickness;hydrogel_properties__roughness;hydrogel_properties__zeta_potential_mV;hydrogel_properties__contact_angle_deg;hydrogel_properties__young_modulus;hydrogel_properties__degradation_or_stability;protein__molecular_weight_kDa;protein__pI;experiment__temperature_C;outcome__isotherm_model;outcome__kinetic_model,D:\Projects\AtctiveOPV\PHA\data\article_data\Wiley\10.1002_app.25580\10.1002_app.25580.json
10.1002/mabi.200500091,Novel Hydrogel Membrane Based on Copoly(hydroxyethyl methacrylate/p-vinylbenzyl-poly(ethylene oxide)) for Biomedical Applications: Properties and Drug Release Characteristics,success,12,12,258,444,58.11,77.81,hydrogel__crosslinker_concentration;hydrogel__substrate_or_support;hydrogel__preparation_solvent;hydrogel__preparation_pH;hydrogel__preparation_temp_C;hydrogel__gelation_time;hydrogel__post_treatment;hydrogel_properties__charge_class;hydrogel_properties__water_content_pct;hydrogel_properties__porosity_pct;hydrogel_properties__pore_size;hydrogel_properties__mesh_size;hydrogel_properties__surface_area;hydrogel_properties__particle_size;hydrogel_properties__roughness;hydrogel_properties__zeta_potential_mV;hydrogel_properties__young_modulus;protein__molecular_weight_kDa;protein__pI;outcome__isotherm_model;outcome__kinetic_model,D:\Projects\AtctiveOPV\PHA\data\article_data\Wiley\10.1002_mabi.200500091\10.1002_mabi.200500091.json
10.1016/j.jchromb.2016.12.032,Development of an affinity cryogel for one step purification of lysozyme from chicken egg white,success,14,12,182,518,35.14,77.51,hydrogel__filler_or_composite;hydrogel_properties__charge_class;hydrogel_properties__water_content_pct;hydrogel_properties__mesh_size;hydrogel_properties__surface_area;hydrogel_properties__particle_size;hydrogel_properties__thickness;hydrogel_properties__roughness;hydrogel_properties__zeta_potential_mV;hydrogel_properties__contact_angle_deg;hydrogel_properties__young_modulus;outcome__kinetic_model,D:\Projects\AtctiveOPV\PHA\data\article_data\Elsevier\10.1016_j.jchromb.2016.12.032\10.1016_j.jchromb.2016.12.032.json
10.1016/j.talanta.2023.125083,Molecularly imprinted polymer hydrogel sheets with metalloporphyrin-incorporated molecular recognition sites for protein capture,success,12,12,198,444,44.59,76.46,hydrogel__substrate_or_support;hydrogel__preparation_pH;hydrogel__preparation_temp_C;hydrogel_properties__charge_class;hydrogel_properties__swelling_ratio;hydrogel_properties__porosity_pct;hydrogel_properties__pore_size;hydrogel_properties__mesh_size;hydrogel_properties__surface_area;hydrogel_properties__roughness;hydrogel_properties__zeta_potential_mV;hydrogel_properties__contact_angle_deg;hydrogel_properties__young_modulus;hydrogel_properties__degradation_or_stability;protein__pI;outcome__kinetic_model,D:\Projects\AtctiveOPV\PHA\data\article_data\Elsevier\10.1016_j.talanta.2023.125083\10.1016_j.talanta.2023.125083.json
10.1002/pat.3167,Structure and pH-sensitive properties of poly (vinylidene fluoride) membrane changed by blending poly (acrylic acid) microgels,success,12,12,168,444,37.84,75.78,hydrogel__crosslinker_concentration;hydrogel__substrate_or_support;hydrogel__preparation_pH;hydrogel__preparation_temp_C;hydrogel__gelation_time;hydrogel__post_treatment;hydrogel_properties__swelling_ratio;hydrogel_properties__mesh_size;hydrogel_properties__surface_area;hydrogel_properties__thickness;hydrogel_properties__zeta_potential_mV;hydrogel_properties__young_modulus;outcome__isotherm_model;outcome__kinetic_model,D:\Projects\AtctiveOPV\PHA\data\article_data\Wiley\10.1002_pat.3167\10.1002_pat.3167.json
10.1016/j.colsurfb.2013.09.018,Preparation and characterization of thiophilic cryogels with 2-mercapto ethanol as the ligand for IgG purification,success,15,11,269,555,48.47,74.85,hydrogel__substrate_or_support;hydrogel__preparation_pH;hydrogel_properties__charge_class;hydrogel_properties__water_content_pct;hydrogel_properties__porosity_pct;hydrogel_properties__mesh_size;hydrogel_properties__particle_size;hydrogel_properties__thickness;hydrogel_properties__roughness;hydrogel_properties__zeta_potential_mV;hydrogel_properties__contact_angle_deg;hydrogel_properties__young_modulus;protein__molecular_weight_kDa;protein__pI;outcome__kinetic_model,D:\Projects\AtctiveOPV\PHA\data\article_data\Elsevier\10.1016_j.colsurfb.2013.09.018\10.1016_j.colsurfb.2013.09.018.json
10.1016/j.colsurfb.2005.01.009,Metal ion promoted hydrogels for bovine serum albumin adsorption: Cu(II) and Co(II) chelated poly[(N-vinylimidazole)-maleic acid],success,14,11,286,518,55.21,74.52,hydrogel__crosslinker;hydrogel__crosslinker_concentration;hydrogel__substrate_or_support;hydrogel_properties__water_content_pct;hydrogel_properties__porosity_pct;hydrogel_properties__mesh_size;hydrogel_properties__surface_area;hydrogel_properties__thickness;hydrogel_properties__roughness;hydrogel_properties__zeta_potential_mV;hydrogel_properties__contact_angle_deg;hydrogel_properties__young_modulus;hydrogel_properties__degradation_or_stability;outcome__isotherm_model;outcome__kinetic_model,D:\Projects\AtctiveOPV\PHA\data\article_data\Elsevier\10.1016_j.colsurfb.2005.01.009\10.1016_j.colsurfb.2005.01.009.json
