id,doi,field_name,value_json,value_origin,evidence_text,source_section,source_table_or_figure,confidence,prompt_version,article_type,qa_note,created_at,completion_source_dir
91,10.1002/adma.201101258,hydrogel_properties.particle_size,"{""small_microgel"":{""value"":6.5,""sd"":0.8,""unit"":""μm"",""raw_text"":""6.5 ± 0.8 μm""},""large_microgel"":{""value"":51.1,""sd"":21,""unit"":""μm"",""raw_text"":""51.1 ± 21 μm""}}",observed_fulltext,Microgel | 6.5 ± 0.8 ...; Microgel | 51.1 ± 21 ...,Table 1. Surface characteristics of microgels and commercial beads,Table 1,0.98,field_completion_v7_property_first_patch,micro_nanogel,"Particle size is directly reported but particle_size is not in the missing_focus list for these records, so it cannot be emitted as a record patch.",2026-07-05T19:57:31,v7_plus_v9pilot
92,10.1002/adma.201101258,hydrogel_properties.pore_volume,"{""small_microgel"":{""value"":0.0286,""unit"":""cm3 g−1"",""raw_text"":""0.0286 cm3 g−1""},""large_microgel"":{""value"":0.0301,""unit"":""cm3 g−1"",""raw_text"":""0.0301 cm3 g−1""}}",observed_fulltext,Microgel | 6.5 ± 0.8 | 12.95 ± 0.04 | 0.0286 | 8.83; Microgel | 51.1 ± 21 | 10.28 ± 1.28 | 0.0301 | 9.98,Table 1. Surface characteristics of microgels and commercial beads,Table 1,0.98,field_completion_v7_property_first_patch,micro_nanogel,"Pore volume is reported in Table 1, but there is no allowed record target_path for pore volume.",2026-07-05T19:57:31,v7_plus_v9pilot
93,10.1002/adma.201101258,outcome.nickel_distribution,"""Nickel mean density throughout the microgel particle showed no statistically significant difference by ANOVA.""",observed_fulltext,Nickel mean density (% w/w) throughout the microgel particle... n.s. = no statistically significant difference by ANOVA,Figure caption,Figure 2c,0.86,field_completion_v7_property_first_patch,micro_nanogel,"This is material-characterization evidence for ligand/metal distribution, not an allowed missing record field.",2026-07-05T19:57:31,v7_plus_v9pilot
119,10.1002/adma.202202612,protein_affibody_binding_KD,"{""min"":""10^-8"",""max"":""10^-7"",""unit"":""M"",""raw_text"":""equilibrium dissociation constants (KD) between 10−7 and 10−8 m""}",observed_fulltext,Protein-affibody binding interactions specific to these target proteins with equilibrium dissociation constants (KD) between 10−7 and 10−8 m,Abstract,,0.88,field_completion_v7_property_first_patch,general_batch_adsorption,The context gives a range for multiple protein-affibody interactions but does not assign exact KD values to each record's protein-hydrogel condition.,2026-07-05T20:07:11,v7_plus_v9pilot
948,10.1002/adma.202307875,hydrogel.preparation_condition,"{""NaHCO3_fraction"":""7.5%"",""raw_text"":""optimized (prepared using 7.5% fraction of NaHCO3)""}",observed_fulltext,optimized (prepared using 7.5% fraction of NaHCO3) PAM and PVDF-HFP/PAM hydrogels,Figure caption,Figure 5,0.72,field_completion_v7_property_first_patch,general_batch_adsorption,"The supplied caption reports an optimized preparation condition for PAM and PVDF-HFP/PAM hydrogels, but NaHCO3 fraction is not one of the allowed record-level target paths and cannot be safely mapped to monomer ratio, crosslinker concentration, solvent, pH, temperature, gelation time, or post-treatment.",2026-07-06T00:41:50,v7_plus_v9pilot
949,10.1002/adma.202307875,hydrogel_properties.porosity_related_preparation_condition,"""varying preparation conditions (porosity)""",observed_fulltext,hydrogels with varying preparation conditions (porosity),Figure caption,Figure 5,0.6,field_completion_v7_property_first_patch,general_batch_adsorption,"The caption states porosity varied with preparation conditions, but no numeric porosity, pore size, mesh size, or sample-specific value is provided in the supplied context.",2026-07-06T00:41:50,v7_plus_v9pilot
1219,10.1002/adma.73688,hydrogel_properties.particle_size,"""micrometer-size coacervates""",observed_fulltext,FRAP analysis of micrometer-size coacervates,Figure caption,Figure 2,0.7,field_completion_v7_property_first_patch,enzyme_immobilization,"Particle size is directly stated for coacervates, but particle_size is not in the missing_focus list for the existing records and no numeric size is supplied.",2026-07-06T01:59:14,v7_plus_v9pilot
1129,10.1002/admi.202002015,hydrogel_properties.contact_angle_deg,"""Contact angles measured by air bubble droplets in water on biomaterial surfaces at room temperature.""",observed_fulltext,Contact angles (CA) of air bubble droplets in the water on the surface of biomaterials at room temperature.,Figure caption,Figure 3,0.67,field_completion_v7_property_first_patch,micro_nanogel,The supplied context states that contact angle was measured but does not provide sample-specific numeric contact-angle values.,2026-07-06T01:36:49,v7_plus_v9pilot
1130,10.1002/admi.202002015,hydrogel_properties.young_modulus,"""Representative elastic modulus E calculated from storage modulus G′ at 1% strain.""",observed_fulltext,representative elastic modulus E calculated from G′ at 1% strain,Figure caption,Figure 3,0.67,field_completion_v7_property_first_patch,micro_nanogel,The supplied context reports modulus characterization but does not provide numeric sample-specific modulus values.,2026-07-06T01:36:49,v7_plus_v9pilot
176,10.1002/admi.202500122,hydrogel_properties.degradation_or_stability,"""Hydrolytic degradation of surface-attached hydrogels was tested under accelerated conditions at pH 1 and 13; p(D80%-BM14%-BP6%) degradation kinetics were followed at 37 °C at different pH conditions.""",observed_fulltext,Hydrolytic degradation of surface-attached hydrogels under accelerated conditions (i.e. pH 1 and 13),Figure caption,Figure 3,0.88,field_completion_v7_property_first_patch,antifouling_surface,"The caption establishes degradation characterization for the coating platform and p(D80%-BM14%-BP6%) specifically, but the supplied context does not provide per-record degradation values.",2026-07-06T03:25:54,v7_plus_v9pilot
177,10.1002/admi.202500122,hydrogel_properties.thickness,"{""value"":40,""unit"":""nm"",""raw_text"":""p(D94%-BM5%-BP1%) partially degraded to a thickness of 40 nm""}",observed_fulltext,p(D94%-BM5%-BP1%) partially degraded to a thickness of 40 nm,Figure caption,Figure 4,0.75,field_completion_v7_property_first_patch,antifouling_surface,"The 40 nm value applies to a partially degraded p(D94%-BM5%-BP1%) condition in Figure 4, but the existing p(D94%-BM5%-BP1%) records do not explicitly identify which are the partially degraded condition.",2026-07-06T03:25:54,v7_plus_v9pilot
542,10.1002/admi.202500147,hydrogel.synthesis_method,"""RAFT precipitation polymerization followed by dansyl modification""",observed_fulltext,synthesized through reversible addition-fragmentation chain transfer (RAFT) precipitation polymerization ... followed by dansyl modification,Abstract,,0.95,field_completion_v7_property_first_patch,micro_nanogel,"The synthesis method is clearly reported for the article material, but hydrogel.synthesis_method is not listed in the missing_focus paths for the existing records.",2026-07-06T05:22:28,v7_plus_v9pilot
543,10.1002/admi.202500147,hydrogel_properties.particle_size,"""particle size distributions measured before modification, after dansyl-EDA modification, and after one month of storage""",observed_fulltext,Particle size distributions of polymer nanogels before and after modification of dansyl-EDA ... after one month of storage,Figure caption,Figure 2,0.78,field_completion_v7_property_first_patch,micro_nanogel,"Particle-size characterization is present, but hydrogel_properties.particle_size is not listed in the missing_focus paths for the existing records and no numeric size value is supplied in the context.",2026-07-06T05:22:28,v7_plus_v9pilot
544,10.1002/admi.202500147,hydrogel_properties.zeta_potential_mV,"""zeta potential measured before and after incubation with HSA""",observed_fulltext,Zeta potential of the polymer nanogels before and after incubation with HSA,Figure caption,Figure 4,0.76,field_completion_v7_property_first_patch,micro_nanogel,"Zeta-potential characterization is present, but hydrogel_properties.zeta_potential_mV is not listed in the missing_focus paths for the existing records and no numeric value is supplied in the context.",2026-07-06T05:22:28,v7_plus_v9pilot
963,10.1002/admt.202101396,hydrogel_properties.lateral_dimensions,"{""length"":1.5,""width"":1.5,""unit"":""mm"",""raw_text"":""approximate 1.5 mm length and width""}",observed_fulltext,"approximate 1.5 mm length and width, and 60 µm height",Figure caption,Figure 1,0.95,field_completion_v7_property_first_patch,general_batch_adsorption,"The allowed patch fields include thickness but not membrane length/width, so the lateral geometry is retained only at article level.",2026-07-06T00:48:31,v7_plus_v9pilot
964,10.1002/admt.202101396,experiment.flow_configuration,"""microfluidic cross-flow induced by a hydrodynamic pressure gradient across the membrane""",observed_fulltext,Fluid flow through the membrane is induced by a hydrodynamic pressure gradient across the membrane,Figure caption,Figure 1,0.94,field_completion_v7_property_first_patch,general_batch_adsorption,Flow configuration is central to the article but is more specific than the allowed flow_rate field and cannot be assigned as a listed record patch target.,2026-07-06T00:48:31,v7_plus_v9pilot
904,10.1002/admt.202400025,hydrogel_properties.pore_morphology,"""SEM images reported for initial printed IPNHs, swelled IPNHs, rinsed IPNHs, and CA-containing rinsed IPNHs""",observed_fulltext,SEM of 3D printed IPNHs: A) initial printed IPNHs; B) swelled in deionized water; C) rinsed with deionized water; D) containing immobilized CA and rinsed with deionized water,Figure caption,Figure 2,0.82,field_completion_v7_property_first_patch,enzyme_immobilization,"The supplied context provides morphology image categories but no numeric pore size, porosity, or surface-area value that can be assigned as a record patch.",2026-07-06T00:29:29,v7_plus_v9pilot
652,10.1002/adsr.202400198,hydrogel.synthesis_method,"""electro-encapsulation""",observed_fulltext,This layer is created via electro-encapsulation.,Figure caption,Figure 1,0.86,field_completion_v7_property_first_patch,antifouling_surface,"The caption describes the antifouling coating layer generally, but hydrogel.synthesis_method is not in the missing_focus list for the existing records, so it cannot be emitted as a record patch.",2026-07-06T05:43:48,v7_plus_v9pilot
653,10.1002/adsr.202400198,hydrogel.layer_composition,"""biocompatible hydrogel, nanostructures, and bovine serum albumin""",observed_fulltext,"antibiofouling coating based on biocompatible hydrogel, nanostructures, and bovine serum albumin",Figure caption,Figure 1,0.82,field_completion_v7_property_first_patch,antifouling_surface,"The composition is stated for the overall second-layer coating, but no allowed missing target_path directly captures this full layer composition without inventing ratios.",2026-07-06T05:43:48,v7_plus_v9pilot
654,10.1002/adsr.202400198,electrode.surface_structure,"""highly porous foam like gold interface""",observed_fulltext,hydrogen bubble template for highly porous foam like gold interface development,Figure caption,Figure 1,0.88,field_completion_v7_property_first_patch,antifouling_surface,"This describes the porous gold electrode support rather than a hydrogel property, so it cannot be assigned to hydrogel_properties.porosity_pct or pore_size.",2026-07-06T05:43:48,v7_plus_v9pilot
398,10.1002/adtp.202500135,hydrogel_properties.pore_size,"{""min"":81,""max"":237,""unit"":""µm"",""raw_text"":""micron-sized pores (81-237 µm)""}",observed_fulltext,micron-sized pores (81-237 µm),Abstract,,0.94,field_completion_v7_property_first_patch,cryogel_column,"The value is clearly reported for the PNiPAAm+CII gel, but hydrogel_properties.pore_size is not in the missing_focus list for the provided records.",2026-07-05T21:46:07,v7_plus_v9pilot
399,10.1002/adtp.202500135,hydrogel_properties.young_modulus,"{""value"":2291.3,""unit"":""psi"",""raw_text"":""elastic Young's modulus (Y = 2291.3 psi)""}",observed_fulltext,elastic Young's modulus (Y = 2291.3 psi),Abstract,Figure 3,0.9,field_completion_v7_property_first_patch,cryogel_column,"The value is reported for the PNiPAAm+CII gel, but hydrogel_properties.young_modulus is not in the missing_focus list for the provided records.",2026-07-05T21:46:07,v7_plus_v9pilot
400,10.1002/adtp.202500135,hydrogel_properties.swelling_ratio,"{""value"":9.7,""unit"":""ratio"",""raw_text"":""PNiPAAm-Bis AAm (1:0.25) + CII | 9.7""}",observed_fulltext,PNiPAAm-Bis AAm (1:0.25) + CII | 9.7,Porosity characterization of the sub-freezing gels,Table 1,0.86,field_completion_v7_property_first_patch,cryogel_column,"The swelling ratio is reported for the matching PNiPAAm+CII formulation, but hydrogel_properties.swelling_ratio is not in the missing_focus list for the provided records.",2026-07-05T21:46:07,v7_plus_v9pilot
42,10.1002/advs.201800711,hydrogel_properties.young_modulus,"""modulus close to human vitreous body""",observed_fulltext,"very close key parameters (modulus, antifouling/antifibrosis, light transmittance, refractive index, ultrastability) to human vitreous body",Abstract,,0.55,field_completion_v7_property_first_patch,antifouling_surface,The context does not provide a numeric modulus or specify which PNAGA-PCBAA sample in the series the modulus description maps to.,2026-07-05T19:39:54,v7_plus_v9pilot
20,10.1002/aic.10482,hydrogel.synthesis_method,"""synthesized within fused-silica capillaries""",observed_fulltext,The gels were synthesized within fused-silica capillaries,Abstract,Abstract,0.95,field_completion_v7_property_first_patch,general_batch_adsorption,"This preparation descriptor applies to the article's hydrogel platform, but hydrogel.synthesis_method was not in the missing_focus list for the existing records.",2026-07-06T02:38:15,v7_plus_v9pilot
21,10.1002/aic.10482,hydrogel_properties.degradation_or_stability,"""stable against mechanical and osmotic forces when incorporated within rigid pores or membranes""",observed_fulltext,composite materials incorporating a gel within the pores of rigid particles or membranes have been shown to be stable against mechanical and osmotic forces,Introduction,Article Body,0.62,field_completion_v7_property_first_patch,general_batch_adsorption,The statement is a general literature/background statement about composite gels rather than a direct characterization measurement of the specific capillary-supported hydrogel records.,2026-07-06T02:38:15,v7_plus_v9pilot
22,10.1002/aic.10482,protein.molecular_weight_kDa,"{""min"":15,""max"":65,""unit"":""kDa"",""raw_text"":""spanning molecular masses between 15 and 65 kDa""}",observed_fulltext,"α-lactalbumin, ovalbumin, and BSA were used as model proteins spanning molecular masses between 15 and 65 kDa.",Abstract,Abstract,0.9,field_completion_v7_property_first_patch,general_batch_adsorption,"The context reports only the combined molecular-mass span for the three proteins, not per-protein values assignable to individual records.",2026-07-06T02:38:15,v7_plus_v9pilot
15,10.1002/aic.10482,outcome.kinetic_model,"""constant diffusivity model""",observed_fulltext,Experimental and predicted profiles for coadsorption ... with constant diffusivity model,Figure captions,Figure 15; Figure 16,0.78,field_completion_v9_property_rescue_patch,general_batch_adsorption,"The captions identify a model used for coadsorption profiles, but the supplied record list does not identify which binary equilibrium records correspond specifically to Figures 15 and 16 beyond shared protein systems.",2026-07-06T06:30:17,v7_plus_v9pilot
16,10.1002/aic.10482,hydrogel_properties.degradation_or_stability,"""stable against mechanical and osmotic forces""",observed_fulltext,composite materials incorporating a gel within the pores of rigid particles or membranes have been shown to be stable against mechanical and osmotic forces,Introduction,,0.45,field_completion_v9_property_rescue_patch,general_batch_adsorption,This statement describes composite gel materials generally and does not directly characterize the fused-silica capillary-supported gel sample in the records.,2026-07-06T06:30:17,v7_plus_v9pilot
576,10.1002/anbr.202000079,hydrogel_properties.particle_size,"{""value"":20,""unit"":""nm"",""raw_text"":""≈20 nm in diameter""}",observed_fulltext,this yields fluorescent-signaling MIP-NGs (FL-MIP-NGs) of ≈20 nm in diameter,Abstract,,0.92,field_completion_v7_property_first_patch,mip_imprinting,"Particle size is directly reported for FL-MIP-NGs, but hydrogel_properties.particle_size is not included in the missing_focus list for the matching records, so it is retained only as an article-level property.",2026-07-06T05:28:28,v7_plus_v9pilot
889,10.1002/anie.201310385,hydrogel_properties.thickness,"{""value"":1,""unit"":""mm"",""raw_text"":""Samples of 1 mm thickness were prepared for all the optical measurements.""}",observed_fulltext,Samples of 1 mm thickness were prepared for all the optical measurements,Figure caption,Figure 2,0.82,field_completion_v7_property_first_patch,antifouling_surface,"The thickness is reported for optical-test samples, not explicitly for the protein adsorption samples in Figure 5.",2026-07-06T00:26:28,v7_plus_v9pilot
890,10.1002/anie.201310385,hydrogel_properties.roughness,"""PFOEA-100 films are more homogeneous than PFOEA-50; PFOEA-50 has domains of different softness""",observed_fulltext,AFM images of PFOEA-100 ... PFOEA-50 ... surface of PFOEA-100 films is notably more homogeneous than that of PFOEA-50,Figure caption,Figure 1b,0.7,field_completion_v7_property_first_patch,antifouling_surface,"AFM morphology is reported for PFOEA-100 and PFOEA-50 films, while the protein adsorption records do not unambiguously use those exact samples.",2026-07-06T00:26:28,v7_plus_v9pilot
446,10.1002/anie.201404881,hydrogel_properties.particle_size,"{""method"":""dynamic light scattering"",""temperature_C"":25,""samples"":{""NP1"":{""in_H2O_nm"":625,""in_buffer_nm"":550},""NP2"":{""in_H2O_nm"":353,""in_buffer_nm"":332},""NP3"":{""in_H2O_nm"":95,""in_buffer_nm"":242},""NP4"":{""in_H2O_nm"":93,""in_buffer_nm"":132}},""raw_text"":""Hydrodynamic diameter measured with dynamic light scattering at 25 °C; NP1 625/550 nm, NP2 353/332 nm, NP3 95/242 nm, NP4 93/132 nm in H2O/buffer""}",observed_fulltext,Hydrodynamic diameter [nm] ... NP1 | 625 | 550; NP2 | 353 | 332; NP3 | 95 | 242; NP4 | 93 | 132,Table 1. Monomer composition and hydrodynamic diameter of NPs,Table 1,0.98,field_completion_v7_property_first_patch,micro_nanogel,"Hydrodynamic diameter is reported as a characterization property, but hydrogel_properties.particle_size is not included in the missing_focus list for the provided records.",2026-07-05T22:04:55,v7_plus_v9pilot
447,10.1002/anie.201404881,hydrogel_properties.responsive_type,"""thermally responsive poly(N-isopropylacrylamide)-based copolymer nanoparticle hydrogels""",observed_fulltext,"synthetic, thermally responsive poly(N-isopropylacrylamide)-based copolymer nanoparticle (NP) hydrogels",Abstract,,0.98,field_completion_v7_property_first_patch,micro_nanogel,"Responsive behavior is a material-level descriptor for all NP hydrogels, but hydrogel_properties.responsive_type is not listed in the missing_focus fields for the records.",2026-07-05T22:04:55,v7_plus_v9pilot
434,10.1002/anie.201700647,hydrogel.functional_monomer,"""PyA=pyrrolidyl acrylate""",observed_fulltext,PyA=pyrrolidyl acrylate (functional monomer),Figure caption,Figure 2,0.92,field_completion_v7_property_first_patch,mip_imprinting,"The figure identifies the monomer role for the MIP-NG preparation, but the allowed record-level field is monomer_ratios and no numeric ratio is reported.",2026-07-05T22:00:03,v7_plus_v9pilot
435,10.1002/anie.201700647,hydrogel.fluorescent_monomer,"""FAm=fluorescein acrylamide""",observed_fulltext,FAm=fluorescein acrylamide (fluorescent monomer),Figure caption,Figure 2,0.92,field_completion_v7_property_first_patch,mip_imprinting,"The article identifies the fluorescent monomer for the nanogel preparation, but not all records specifically require fluorescence-labeled material.",2026-07-05T22:00:03,v7_plus_v9pilot
436,10.1002/anie.201700647,hydrogel.crosslinker_identity,"""MBAA=N,N'-methylenebisacrylamide""",observed_fulltext,"MBAA=N,N'-methylenebisacrylamide (crosslinker)",Figure caption,Figure 2,0.92,field_completion_v7_property_first_patch,mip_imprinting,"The crosslinker identity is reported for the MIP-NG preparation, while the allowed record-level field requests crosslinker concentration.",2026-07-05T22:00:03,v7_plus_v9pilot
437,10.1002/anie.201700647,protein_corona_behavior,"""albumin-rich protein corona formed in vivo after injection""",observed_fulltext,"albumin was captured by MIP-NGs immediately after injection, forming an albumin-rich protein corona",Abstract,,0.87,field_completion_v7_property_first_patch,mip_imprinting,This is a general mechanistic observation for the article and is not a numeric adsorption/property field assignable to a single record without overextending the allowed paths.,2026-07-05T22:00:03,v7_plus_v9pilot
815,10.1002/anie.201713428,experiment.replicate_count,3,observed_fulltext,"mean±standard deviation, n=3",Figure caption,Figure 2,0.78,field_completion_v7_property_first_patch,general_batch_adsorption,"The Figure 2 caption reports n=3 for HABA and/or release panels, but the supplied fragment does not unambiguously bind the replicate count to each existing streptavidin release record.",2026-07-06T00:01:53,v7_plus_v9pilot
